ФИО,Желаемая должность,Зарплата,Личная информация,Местоположение,Занятость и график,Общий опыт,Последнее место работы,Обязанности,Ключевые навыки,Обо мне,Образование,Языки,Ссылка
Candidate,Developer 1C,Не указано,"Male, 35 years","Baku , willing to relocate (Moscow) , prepared for business trips",Не указано,Work experience 7 years 10 months,Developer 1C в İrşad,"-Making changes in existing modules and preparing new modules, reports according to requirements. -Installation, configuration and administration of 1C servers. Backup and restore data","C/C++, Python, SQL, PHP HTML CSS, SAP, TCP/IP DHCP DNS, 1C development, Windows Server, 1c develop, Azerbaijani — Native, English — B2 — Upper Intermediate, Russian — C2 — Proficiency",Не указано,"Moscow Lomonosov State University, Moscow (Russia) Faculty of Computational Mathematics and Cybernetics , Enterprise Information Systems; Baku State University (Baku) Faculty of Applied Mathematics and Cybernetics , Infomatika; State Program on Education of Azerbaijani Youth Abroad in 2007-2015 Moscow Lomonosov State University","Azerbaijani — Native, English — B2 — Upper Intermediate, Russian — C2 — Proficiency",https://hh.ru/resume/fa6d377200053077150039ed1f31374f6b4d35
Кандидат,Разработчик 1С,Не указано,"Мужчина, 52 года","Москва , не готов к переезду , не готов к командировкам",Не указано,Опыт работы 24 года 1 месяц,Вед.разработчик в ООО Сигма,"Развитие и доработка собственных бизнес-приложений на платформе 1С ; Тестирование, участие в пользовательском тестировании и проверке кода; Разработка и интеграция 1С (Правила интеграции, XML и XTDO, Веб-сервисы) с другими системами; Разработка новых программных инструментов для повышения эффективности работы- отчеты, формы, функции, модули, подсистемы, повышение производительности и т.д.; Сопровождение и поддержка реализованных решений.","Исполнительность, Русский — Родной, Английский — A1 — Начальный, Немецкий — B2 — Средне-продвинутый","Спорт, автомобили,экономика.","МГТУ им. Баумана МТ , Инженер-механик электронной техники; Модульная система программирования в 1С 8.3 1 Учебный Центр 1С , Программирование; Конфигурирование на платформе 1с 8.3 (Специалист) 1 Учебный центр 1С; Управление IT проектами Учебный центр СИГМА , Руководитель IT проектами; Программирование 1с 8.2 Столичный бизнес колледж , Программист 1С; Администатор БД SQL УИиА СБЕРБАНК , свидетельство; Курсы для мол.специалистов УИиА СБЕРБАНК , свидетельство","Русский — Родной, Английский — A1 — Начальный, Немецкий — B2 — Средне-продвинутый",https://hh.ru/resume/6654bee700023a3d750039ed1f32396d634144
Кандидат,Ведущий программист 1C,350 000 ₽ на руки,"Мужчина, 35 лет","Москва , готов к переезду , готов к командировкам",Не указано,Опыт работы 12 лет 7 месяцев,Программист 1C в Первый БИТ,"Большой опыт разработки на управляемых формах 1с 8.3. Опыт создания конфигураций с 0, печатных форм, администрирования баз, создания отчётов в том числе на СКД, создания доработок, сопровождения бухгалтерских баз БП 2.0 и 3.0, ЗУП 2.5 и 3.0, УТ 11 и 10, erp 2.0, опыт перехода с ут 11 на erp 2.0, опыт перехода с зуп на erp 2.0, опыт перехода с ERP на ЗуП, опыт перехода с ERP на бп, опыт перехода с тис 7.7 на erp 2.0. Опыт руководства командой разработки. Участие в проектах внедрения ERP 2.0 - 2.4 большой длительности (от года). На проектах внедрения ERP были внедрены блоки: производства, продажи, бухгалтерия, кадры, зарплата, бюджетирование. Навыки составления ТЗ со слов заказчика, донесения задачи до исполнителя, составления инструкций, согласование сроков и деталей проектов.","Русский — Родной, Английский — B2 — Средне-продвинутый","Аналитический склад ума, внимательный, ответственный.","Московский государственный технический университет им. Н.Э. Баумана, Москва Информационные системы , Инженер программист","Русский — Родной, Английский — B2 — Средне-продвинутый",https://hh.ru/resume/0fd9a67b00058c45400039ed1f33765754366d
Кандидат,Программист-разработчик,160 000 ₽ на руки,"Мужчина, 57 лет","Москва , не готов к переезду , готов к редким командировкам",Не указано,Опыт работы 22 года,"Программист 1C в Шишкин Лес Холдинг, ООО","Обязанности - разработка, внедрение, сопровождение программных продуктов 1С для множества юр.лиц входящих в сотав холдинга, более 10. С 2005 года на предприятии мною были внедрены и доработаны 1С Комплексная конфигурация 7.7(учет ЗП, доработано производство, автоматический учет рабочего времени, распределение затрат на готовую продукцию, управленческая ЗП, автотранспорт и затраты на него). 1С Торговля и Склад 7.7 (рабочие места менеджеров, ценовая, бонусная, акционная политика, маршрутные листы и т.д.). 1С Бухгалтерия 7.7. OLE обмены между этими конфигурациями. Отчеты EXEL обращающиеся напрямую к 1C под SQL. Бухгалтерия Предприятия 2.0, Зарплата и Управление персоналом 2,5. Сравнительный (разностный) обмен между ТиС 7.7 и БП 2.0 через XML. Сравнительный (разностный) обмен между УТ 11 и БП 3.0. Плавный переход из зарплатной части комплексной конфигурации 7.7 на ЗУП 3.1 Обработки по сравнению и переносу данных между различными конфигурациями с помощью СКД.","Умение работать с большими объемами данных, быстро изучать бизнес-процессы (IDF0), 1С: Комплексная автоматизация, MS SQL, 1С: Зарплата и управление персоналом, 1С: Бухгалтерия, 1С программирование, 1С: Управление Торговлей, Бухгалтерская отчетность, Бухгалтерский учет, Расчет заработной платы, 1C: Бухгалтерия, Русский — Родной, Английский — B2 — Средне-продвинутый","Мои хобби - горные лыжи, приборный поиск, багги, квадроциклы. Коммуникабелен, контактен, доброжелателен.","Московский государственный технический университет радиотехники, электроники и автоматики, Москва Радитехнический , Инженер-электронщик","Русский — Родной, Английский — B2 — Средне-продвинутый",https://hh.ru/resume/109a3a40000352e3000039ed1f666a70585366
Кандидат,Программист 1C 8,130 000 ₽ на руки,"Мужчина, 44 года","Москва , м. Новослободская , готов к переезду (Красноярск, Ленинградская область, Москва, Новосибирск, Санкт-Петербург) , готов к командировкам",Не указано,Опыт работы 20 лет 5 месяцев,Разработчик в 1С:Франчайзи,"Обязанности Разработка коробочных решений 1С:Совместимо и подсистем в рамках проектов автоматизации торговых и торгово-производственных компаний Достижения 12 коробочных решений, несколько десятков успешных внедрений, 1 образовательный интернет-проект (стартап)","Start-up project, Проектирование решений, Разработка концепции, Управление персоналом, Управление эффективностью, Английский — B2 — Средне-продвинутый",Не указано,"Алтайский государственный технический университет им. И.И. Ползунова, Барнаул Факультет информационных технологий , Информационные системы в экономике; Менеджер организации (MBA) Международный институт менеджмента ЛИНК , Управление изменениями; Менеджер организации (MBA) Международный институт менеджмента ЛИНК , Управление персоналом; 1С:Руководитель проекта Фирма 1С , Управление проектами; 1С:Эксперт Фирма 1С , Эксперт по технологическим вопросам крупных внедрений; Преподаватель ЦСО Фирма 1С , Преподаватель по курсам для разработчиков и пользователей типовых решений; 1С:Специалист Фирма 1С , Специалист по платформе, УТ, БП, ЗУП, УПП; 1С:Специалист-консультант Фирма 1С , Специалист-консультант по УТ, БП, ЗУП; 1С:Профессионал Фирма 1С , Профессионал по типовым решениям 1С и платформе",Английский — B2 — Средне-продвинутый,https://hh.ru/resume/d15761d000021edab00039ed1f476544734272
Кандидат,Программист 1С,3 000 ₽ на руки,"Мужчина, 42 года","Москва , не готов к переезду , не готов к командировкам",Не указано,Опыт работы 16 лет 9 месяцев,"Разработчик 1С в Кронос, ООО","Внедрение 1С:ERP 2.0 (первое в ПФО). Доработка блока оперативного учета. Разработка дополнительных отчетов и обработок. Устранение ошибок типовой конфигурации. Автоматизация складской деятельности (в 4 раза сократилось время на обработку документов): автоматизация прихода товаров, создания новых позиций товара, формирование накладных на перемещение в розничные салоны. Переработка типового функционала и внедрение блока бюджетирования. Обновление отдельных блоков решения под изменения законодательства без полного перехода на новые релизы конфигурации.","1С программирование, 1С: Комплексная автоматизация, ERP-системы на базе 1С, Русский — Родной","ВНЕДРЕНИЕ 1С Работаю с командой разработчиков для предприятий до 150 рабочих мест в 1С. Внедряем системы 1С на предприятии. Решаем актуальные задачи: Организация бухгалтерского и налогового учёта. Управление персоналом и расчётом заработной платы. Автоматизация торговли, склада, производства. Эффективное решение организационных, технологических и финансовых задач бизнеса. ВНЕДРЕНИЕ ЛЮБОЙ КОНФИГУРАЦИИ 1С 1С:Бухгалтерия 1С:Управление торговлей 1С:Розница 1С:Управление нашей фирмой 1С:Зарплата и управление персоналом 1С:Комплексная автоматизация 1С:Управление производственным предприятием 1С:ERP ПОЛНЫЙ ЦИКЛ ВНЕДРЕНИЯ ПРОДУКТОВ 1С:ПРЕДПРИЯТИЕ Внедряем различные конфигурации 1С:Предприятие Оказываем услуги последующего сопровождения, включая оптимизацию и доработку систем 1С под задачи клиента. 1. Заявка на внедрение 1С. После подачи заявки и выяснения бизнес-задач клиента, мы подбираем более подходящий вариант на базе продуктов 1С. 2. Внедрение 1С. Внедрение осуществляется опытной командой сертифицированных специалистов по наиболее эффективному методу, который подходит для конкретного проекта. 3. Обучение пользователей 1С. Наши клиенты могут быстро приступать к работе в новой системе, поскольку мы проводим обучение пользователей для их ускоренной адаптации. 4. Комплексная поддержка 1С. Мы также можем взять на обслуживание вашу систему 1С, чтобы вы не беспокоились о её стабильной и быстрой работе.","Волжская государственная академия водного транспорта, Нижний Новгород Инженер электро-механик",Русский — Родной,https://hh.ru/resume/d6c4691c00077896310039ed1f4c68596c6369
Кандидат,Программист 1C,75 000 ₽ на руки,"Мужчина, 46 лет","Москва , не готов к переезду , не готов к командировкам",Не указано,Опыт работы 25 лет 7 месяцев,Программист 1C в Индивидуальное предпринимательство / фриланс,"Компетенции в программировании: Проектирую и внедряю компоненты ИТ-инфраструктуры предприятия, обеспечивающие достижение стратегических целей и поддержку бизнес-процессов. Знаю: особенности системы ""1С:Предприятие"" для создания информационных систем, встроенный язык программирования системы ""1С:Предприятие"", принципы разработки элементов конфигурации системы ""1С:Предприятие"". Умею: разрабатывать собственную конфигурацию для ведения бухгалтерского и управленческого учета на предприятии, используя основные компоненты конфигуратора (справочники, документы, перечисления), организовывать хранение оперативной информации во всевозможных регистрах: регистрах сведений, регистрах накоплений, регистрах бухгалтерии, получать программным образом информацию из базы данных и представлять ее пользователю в удобном виде. Программирую под любые задачи на любых платформах 7.7, 8.2, 8.3. Максимально стараюсь не вносить изменения в конфигурацию для обеспечения сохранения официальной поддержки от 1С (работа через расширения конфигурации для платформ 8.2, 8.3). Компетенции в сфере торговли: • Автоматизация розничных магазинов на конфигурации «1С:Розница 8» и «1С:Управление торговлей 8» с подключением различного торгового оборудования штрих-кодирования, фискальных регистраторов, в т.ч. онлайн ККТ (54-ФЗ), ТСД, электронных весов и прочего торгового оборудования. • Настройка и поддержка обмена данными 1С и ЕГАИС в торговле алкоголем. • Настройка и поддержка обмена данными 1С и интернет-магазинами (UMI, Битрикс и другие). • Создание и поддержка распределенных информационных баз (РИБ) по торговым точкам с Центральным узлом в офисе компании под ключ. • Создание и поддержка работы торговых точек на тонких клиентах через удаленный сервер на СУБД Microsoft SQL Server под ключ (более 40 внедрений). • Настройка и создание функционала по начислению премий продавцам за проданные товары в разрезе магазинов, групп номенклатуры и маркетинговых акций. Система отчетности и отражения зарплаты продавцам. • Настройка принтеров этикеток. Корректировка шаблонов этикеток и ценников. • Удаленный доступ агентов по продажам к базе 1С через веб-доступ или мобильное приложение на базе «1С: Мобильная платформа». • Настройка и создание дополнительных отчетов по повышению эффективности продаж в разрезе групп товаров, магазинов, продавцов, оборота, среднего чека, количества продаж. • Автоматизация отделов закупок. Анализ проданных товаров, автоматическое построение прогнозов продаж и закупок на выбранный период. • Настройка система автоматических напоминаний сотрудникам о важных делах на E-Mail и SMS (позвонить клиенту, создать реализацию, закупить определенный товар и т.д.). • Настройка системы мотивации покупателей под любые требования заказчика, настройка системы начисления бонусов. Настройка рассылки смс-уведомлений клиентам различного содержания. • Настройка расчета цен по различным формулам и видам цен заданных пользователями. • Большой опыт внедрения, конфигурирования и интеграции с различными дополнительными сервисами отраслевых решений (Аптеки, Стоматология, Ветеринарные клиники, Салоны красоты, Фитнесс-центры, Спа-салоны, Салоны оптики, Мебельные магазины, Магазины бытовой техники и прочее). • Внедрение конфигурации 1С: Управление Торговлей в крупных торговых компаниях. Конфигурирование и программирование под задачи заказчиков. Компетенции в сфере бухгалтерии: • Обновление конфигураций до актуальных релизов, в т.ч. не типовых конфигураций. • Настройка регулярных автоматических обменов между 1С:Управление торговлей 8 или 1С:Розница 8 с 1С:Бухгалтерия 8, а также обменов других отраслевых конфигураций. • Настройка обменов между 1С:Зарплата и управление персоналом 8 и 1С:Бухгалтерия 8. • Настройка обмена между 1С и ПО банк-клиентом. • Создание специфических обменов между базами 1С, при этом конфигурация • 1С:Бухгалтерия 8 оставалась типовой, настраивались только правила обмена. Например, создание ручных проводок или создание Корректировок по планы\факту из торговых баз данных 1С. • Решение проблем с закрытием месяца. • Поддержание регламентированных форм отчетности в актуальном состоянии. • Загрузка и поддержка в актуальном состоянии классификаторов адресов и банков. • Настройка функционала «1С-Отчетность» для отправки регламентированных отчетов в ИФНС, ПФР, ФСС и др. • Решение проблем с регистрами учета (красные остатками, не верная себестоимость и прочее). • Перенос данных из других бухгалтерских и управленческих программ. Компетенции в сфере консультирования и обучения персонала: • Консультирование и техническая поддержка персонала в текущем и срочных режимах. • Удаленное и выездное обучение в соответствии с планами обучения в рамках компетенции каждого сотрудника или групп сотрудников.","1С: Розница, 1С: Управление Торговлей, 1С: Зарплата и управление персоналом, 1C: Бухгалтерия, 1С: Бухгалтерия, Системная интеграция, 1С-Битрикс, 1С: Комплексная автоматизация, Автоматизация продаж, Автоматизация процессов управления персоналом, Русский — Родной","Проекты и консалтинг: • Проектные работы: предпроектное обследование бизнес-процессов, разработка проектов внедрения ПО, консультационные услуги по внедрению ПО; • Услуги: обновление типовых и не типовых конфигураций 1С, настройка конфигураций; • Консалтинг: управленческий консалтинг, ведение бюджетного планирования, консалтинг в области бухгалтерского учета. • Обучение: индивидуальное обучение пользователей и корпоративных групп. Внедрение решений: • 1С: Управление торговлей: автоматизация задач оперативного и управленческого учета, анализа и планирования торговых операций, автоматизация трудоемких рутинных операций, повышение эффективности работы торговых и складских служб. • 1С: Розница: автоматизация бизнес-процессов розничных магазинов, в том числе распределенных розничных сетей торгового предприятия. Автоматизация на базе отраслевых решений: 1С:Розница 8. Салон оптики, 1С:Розница 8. Аптека 1С:Розница 8. Магазин одежды и обуви, 1С:Розница 8. Ювелирный магазин, 1С:Розница 8. Магазин бытовой техники и средств связи, 1С:Розница 8. Магазин автозапчастей, 1С:Розница 8. Магазин строительных и отделочных материалов, 1С:Розница 8. Книжный магазин. • 1С: Бухгалтерия: автоматизация бухгалтерского и налогового учета коммерческих предприятий, включая подготовку обязательной (регламентированной) отчетности в организациях при осуществлении любых видов коммерческой деятельности: оптовой и розничной торговли, комиссионной торговли (включая субкомиссию), оказание услуг, производство и т.д. • 1С: Зарплата и управление персоналом: автоматизация расчета заработной платы, управления финансовой мотивацией персонала, исчисления регламентированных законодательством налогов и взносов с фонда оплаты труда, отражения начисленной зарплаты и налогов в затратах предприятия, управления денежными расчетами с персоналом, включая депонирование, учета кадров и анализа кадрового состава, автоматизация кадрового делопроизводства, планирования потребностей в персонале, обеспечения бизнеса кадрами, управления компетенциями, аттестациями работников, управления обучением персонала, эффективного планирования занятости персонала. Внедрение отраслевых решений крупнейших разработчиков таких как: Рарус, БИТ, Далион, Хэликс и т.д. Люблю учиться чему-то новому, становиться ""лучшей версией себя"". Уделяю внимание деталям, работаю на результат. Ценю в себе и в других ответственность. Увлекаюсь спортом (плавание, фитнес, футбол) веду активный образ жизни, люблю путешествовать и получать от жизни удовольствие.","Московский государственный технический университет им. Н.Э. Баумана, Москва Информатика и системы управления , Информационная безопасность",Русский — Родной,https://hh.ru/resume/59d1343a0003f4fa210039ed1f69554c796465
Кандидат,Программист 1C,250 000 ₽ на руки,"Мужчина, 37 лет","Ижевск , готов к переезду (Ленинградская область, Москва, Московская область, Пермь) , не готов к командировкам",Не указано,Опыт работы 13 лет 11 месяцев,Программист 1C в Сократ,"1с Ут 10.3 11, БП 2.0 3.0, КА, Розница, Интеграция с Битрикс, Интеграция с Веб сервисам, Переход с 7 на 8, Внедрение адресного хранения","1С программирование, 1С: Управление Производственным Предприятием, 1С: Документооборот, Обновление конфигурации 1С, 1C: Бухгалтерия, 1С: Управление Торговлей, Консолидированная бухгалтерская отчетность, Анализ текущих финансовых показателей, Анализ финансовых показателей, Консолидация финансовой отчетности, МСФО, Русский — Родной",Рисование,"Удмуртский государственный университет, Ижевск Институт права, социального управления и безопасности , ОиТЗИ; БухУчет Московская Школа бухгалтеров , Бухгалтерия",Русский — Родной,https://hh.ru/resume/6f4bd40d0001c34cb40039ed1f51716d344231
Кандидат,Программист 1С,80 000 ₽ на руки,"Женщина, 58 лет","Орел , готова к переезду (Москва, Московская область, Санкт-Петербург) , не готова к командировкам",Не указано,Опыт работы 26 лет 4 месяца,Программист 1С в ООО Парк Компьютерс,"Внедрение, сопровождение пакетов ""Бухгалтерия предприятия 8.2/ 8.3"", ""Зарплата и управление персоналом 8.2"", "" Зарплата и управление персоналом 8.3"" Большой опыт по внедрению пакетов 1С: Бухгалтерия, Расчет заработной платы. Умению работать с клиентом по внедрению, поиску ошибок. Хорошее знание участков бухгалтерского учета (общего, производства), расчета заработной платы. Обучение и консультирование пользователей, внедрение учета на рабочем месте пользователя. Доработка конфигурации под нужды заказчиков, создание новых элементов конфигурации, разработка и доработка отчетов. Программирование 7.7 во всех пакетах: Бухгалтерия, Зарплата+кадры, Торговля+склад, Комплексная. Огромный опыт работы программистом с программными продуктами 1С как на платформе 7.7, так и на платформе 8.2. Хорошее знание типовых конфигураций «Зарплата и Управление персоналом 8.2», «Бухгалтерия предприятия 8.2», ""Бухгалтерский учет 7.7"", ""Зарплата+кадры 7.7"", ""Торговля+склад 7.7"". Опыт преподавания, в том числе успешного обучения «с нуля» пользователей любой квалификации.","Русский — Родной, Английский — A1 — Начальный","ХОРОШЕЕ программирование в среде ""1С: Предприятие 7.7"" для компонент учета : ""Бухгалтерский учет"", ""Расчет"", ""Оперативный учет"". Программирование в среде ""1С:Предприятие 8.2"" для ""Бухгалтерия предприятия 8.2"", ""Зарплата и управление персоналом 8.2"". Доработка типовых пакетов по заданию пользователя. Написание новых отчетов, документов. Внедрение, обучение, консультации по автоматизации учета. Помощь бухгалтерам в работе с программами для сдачи отчетности ПФР, НДФЛ. Имею сертификаты: Тесты, экзамены 2018 Специалист-консультант ""Зарплата и управление персоналом 3.1"" 2010 Специалист-программист ""Зарплата и управление персоналом"" 8.2 фирма ""1С"" 2007 Профессионал ""УПП 8.0"" фирма ""1С"" 2006 Профессионал ""Торговля+склад 7.7"" Фирма ""1С"" 2005 Профессионал ""Бухгалтерия 8.0"" Фирма ""1С"" 2002 Специалист-программист ""Зарплата и кадры 7.7"" Фирма ""1С"" Очень хорошие знания предметной части бухгалтерского учета и расчета заработной платы, торговых операций.","Воронежский государственный университет Пмм; Фирма 1С Учебный центр №1, фирма 1С , Расчет, внедрение ЗуП 3.0; Фирма С Курсы","Русский — Родной, Английский — A1 — Начальный",https://hh.ru/resume/86970ff70004774abb0039ed1f663838734c7a
Кандидат,Программист 1С,Не указано,"Мужчина, 47 лет","Москва , не готов к переезду , не готов к командировкам",Не указано,Опыт работы 21 год 3 месяца,"Программист 1С в ООО ""1С-СОФТ""",Разработка ЕРП,"Работоспособность, Английский — A1 — Начальный","1. Различные доработки типовых и не типовых конфигурации ERP, Управление торговлей Бухгалтерия, УПП, Альфа-авто. Оптимизация, добавления нового функционала, изменения существующего функционала 2. Написание конфигурации с ""0"" 3. Прямые запросы из 1С (ADO, ODBC) к СУБД: MySQL, MS SQL server, Access, Excel, СКУД Parsec, СКУД BioTime, внешние источники данных 4. Обмен между конфигурациями, другими системами (формат .xml, .json, .csv, .xls, .txt, .dbf и тд.), конфигурация ""Конвертация данных"", обмен через COM, 5. http сервисы (rest), Веб-сервисы (soap), обмен с сайтами 6. РБД 7. Настройка доступа к данным на уровне записей (RLS) 8. Разработка на EDT, GIT 9. Консультирование пользователей 10.Анализ бизнес процессов, постановка задач Исполнительный, стресс устойчивый, усидчивый, постоянно повышаю свою квалификацию.","Ереванский Государственный Университет Радиофизика , Дипломированный; Доработка и Адаптация типовых конфигураций УТ 11, КА 2 и 1С:ERP 2 Учебный центр 1C №1 , Сертификат о прохождении курсов; Основы расчетных механизмов Учебный центр 1C №1 , Сертификат о прохождении курсов; Профессиональная разработка отчетов в 1С 8.3 на СКД Учебный центр 1C №1 , Сертификат о прохождении курсов; Программирование в стандартных типовых решениях системы 1С Предприятие 8. Основные приемы, использование БСП Учебный центр 1C №1 , Сертификат о прохождении курсов; Бухгалтерский учет 2008 - теория и практика Центр компьютерного обучения при МГТУ им Баумана , Сертификат о прохождении курсов; Конфигурирование прикладного решения 1С: Предприятие 8.0. Управление Торговлей Учебный центр 1C №1 , Сертификат о прохождении курсов; Конфигурирование платформы 1С: Предприятие 8.0 Учебный центр 1C №1 , Сертификат о прохождении курсов; Введение в конфигурирование в системе 1С: Предприятие 8.0. Основные объекты Учебный центр 1C №3 , Сертификат о прохождении курсов; Программирование в 1С: Предприятие 7.7 Центр компьютерного обучения при МГТУ им Баумана , Сертификат о прохождении курсов; Профессионал 1С: ERP Управление предприятием 2 1С; Профессионал 1С: Предприятие 8.0 по Бухгалтерии 1С; Специалист 1С: Предприятие 8.0 по Управление Торговлей 1С; Специалист 1С: Предприятие 8.0 по Платформе 1С; Профессионал 1С: Предприятие 7.7 по Бухгалтерии 1С",Английский — A1 — Начальный,https://hh.ru/resume/2f2384cb0000a474c60039ed1f736563726574
