ФИО,Желаемая должность,Зарплата,Личная информация,Местоположение,Занятость и график,Общий опыт,Последнее место работы,Обязанности,Ключевые навыки,Обо мне,Образование,Языки,Ссылка
Кандидат,Front-end разработчик (Angular),Не указано,"Мужчина, 25 лет","Новосибирск , не готов к переезду , готов к редким командировкам",Не указано,Опыт работы 4 года 9 месяцев,Angular-разработчик в «Предприятие «ЭЛТЕКС»,"В основном работа на одном проекте - десктопное приложение, корпоративный мессенджер. Чем занимался: - разработка ангуляр приложения в обертке electron под windows, linux и macOS - улучшение существующего функционала приложения - разработка новых фич - код ревью - рефакторинг устаревшего кода - аналитика - разработка архитектуры приложения, написание спецификаций и документаций - взаимодействие с бэкендом через rest и вебсокеты - куча rxjs - совсем немного верстки","JavaScript, HTML5, CSS3, ООП, Git, TypeScript, BEM, Adaptive and responsive, Sass, Angular, Rxjs, Angular material, electron, ngrx, jssip, Python, Figma, Websockets, React, ChartJS, Redux, Leaflet, React router, AngularJS, Highcharts, GraphQL, Армянский — Родной, Английский — B1 — Средний, Русский — C2 — В совершенстве",https://t.me/rudi_1313,"Томский государственный университет систем управления и радиоэлектроники, Томск Факультет систем управления , Информатика и вычислительная техника; Томский государственный университет систем управления и радиоэлектроники, Томск Tagree , Front-end start","Армянский — Родной, Английский — B1 — Средний, Русский — C2 — В совершенстве",https://hh.ru/resume/2ecd34390005c9d9b20039ed1f49416e587030
Кандидат,ReactJS Angular developer,40 000 ₽ на руки,"Мужчина, 31 год","Владимир , не готов к переезду , готов к редким командировкам",Не указано,Опыт работы 5 лет 6 месяцев,Angular developer в СЕРВИСХАБ,Разрабатываю на Angular.,"Git, JavaScript, MySQL, CSS, Linux, ООП, PostgreSQL, Python, SQL, HTML5, C++, Bootstrap, Typescript, Angular, RxJS, Node.js, Developer Express, MongoDB, SSR, SSG, NEXTJS, Redux, Redux-toolkit, ReactJS, GraphQL, Apollo, Sass, Scss, Machine learning, Deep learning, Русский — Родной, Английский — C1 — Продвинутый, Китайский — A2 — Элементарный, Узбекский — C1 — Продвинутый","Не делаю тестовых проектов!!! Всё, что нужно указано в ключевых навыках и в Github. Ориентируюсь на высокую производительность приложений, люблю делать идеально, если уж делать, не терплю посредственного подхода к разработке.","Ковровская государственная технологическая академия им. В.А. Дегтярева, Ковров Автоматика и электроника , Лазерная физика и технологии","Русский — Родной, Английский — C1 — Продвинутый, Китайский — A2 — Элементарный, Узбекский — C1 — Продвинутый",https://hh.ru/resume/55fac73800082a36870039ed1f4942576d7963
Кандидат,"Fullstack developer (Angular, NestJs)",Не указано,"Мужчина, 41 год","Москва , м. Бауманская , готов к переезду , готов к командировкам",Не указано,Опыт работы 17 лет 8 месяцев,Senior Frontend developer Angular в OnMoon,Angular,"Angular, JavaScript, HTML5, CSS3, Git, Bootstrap, react, Atlassian Jira, Nest js, Node.js, TypeScipt, Русский — Родной, Английский — B2 — Средне-продвинутый, Немецкий — B1 — Средний","Технологии: FrontEnd: Angular, Next.js, Vue.js, WebSocket, TypeScript, JavaScript, HTML, SCSS BackEnd: NestJs, Node.js, MongoDB, PostgreSQL DevOps: VPS, CI/CD, Docker Интересы: Data Science, AI GameDev 3d modelling","Московский физико-технический институт (Государственный университет), Москва Кафедра радиоэлектроники и прикладной информатики; ISEU International Sakharov Environmental Institute Radiobiology, Radiation medicine; Rsschool RsSchool , NodeJs developer; Rsschool RsSchool , Angular developer; LeverX Group LeverUp! Course , Front-end Programming Angular","Русский — Родной, Английский — B2 — Средне-продвинутый, Немецкий — B1 — Средний",https://hh.ru/resume/fff62e4200083dc0110039ed1f416a4c323963
Кандидат,Frontend-разработчик Angular,4 200 $ на руки,"Мужчина, 31 год","Москва , не готов к переезду , готов к редким командировкам",Не указано,Опыт работы 8 лет 3 месяца,Angular Developer в Korkortsjakten,"Разработал с нуля клиентскую часть сайта на Angular 19 Состав команды: 2 фронтенд-разработчика, 2 бэкенд-разработчика, QA Отвечал за архитектуру, реализацию и интеграцию с REST API Проводил код-ревью","Angular, Git, RxJS, NgRx, PrimeNg, Material, Cypress, PHP, MySQL, PostgreSQL, Laravel, HTML, CSS3, Scss, Русский — Родной, Английский — B2 — Средне-продвинутый, Армянский — C2 — В совершенстве","Опытный разработчик фронтенда на Angular с фокусом на результат. Имею успешный опыт в создании веб-приложений с интуитивно понятным интерфейсом. Специализируюсь на разработке настраиваемых пользовательских опытов, оптимизации производительности и обеспечении высокой степени взаимодействия. Глубокие знания в Angular, HTML, CSS и JavaScript позволяют создавать инновационные и привлекательные веб-приложения. Работал с клиентами различных отраслей, обеспечивая успешную реализацию их потребностей и целей. Готов эффективно работать в команде и принимать вызовы различной сложности.","ASUE Management , Management","Русский — Родной, Английский — B2 — Средне-продвинутый, Армянский — C2 — В совершенстве",https://hh.ru/resume/dd834f6000078b75310039ed1f4d4142776756
Кандидат,Angular-программист,Не указано,"Мужчина, 29 лет","Тольятти , не готов к переезду , не готов к командировкам",Не указано,Опыт работы 6 лет 6 месяцев,middle-программист в BrightMobile,Разрабатывал frontend и backend мобильных приложений на связке angular + ionic + node.js + firebase + strapi,"JavaScript, CSS, HTML5, TypeScript, Angular 2+, Firebase, ionic, Git, Node.js, strapi, docker, cordova, capacitor, Русский — Родной, Английский — B1 — Средний","Фронтенд разработкой начал увлекаться после окончания университета в 2018 году. Ответственный, трудолюбивый, хорошо усваиваю информацию. Имеется опыт разработки мобильных приложений с использованием Angular, ionic, firebase, node.js, typescript, javascript, html, css, git.","Тольяттинский государственный университет, Тольятти Энергетика и электротехника , Электротехника","Русский — Родной, Английский — B1 — Средний",https://hh.ru/resume/ef344dc700076cd36b0039ed1f315269726830
Кандидат,Программист Angular,Не указано,"Мужчина, 40 лет","Москва , не готов к переезду , не готов к командировкам",Не указано,Опыт работы 11 лет 10 месяцев,Программист в Индивидуальное предпринимательство / частная практика / фриланс,Разрабатывал сайты на angular Общий стаж в it более 7 лет По желанию пришлю код на почту,"angular, Русский — Родной",html css javascript angular,"Московский государственный университет экономики, статистики и информатики, Москва информационные технологии , Прикладная математика и информатика",Русский — Родной,https://hh.ru/resume/163277730008b706010039ed1f47505346714a
Кандидат,Frontend Developer -Angular,250 000 ₽ на руки,"Мужчина, 29 лет","Москва , готов к переезду , готов к командировкам",Не указано,Опыт работы 4 года 10 месяцев,Angular Frontend developer в onmoon,"Market CSGO – one of the largest marketplaces for buying and selling CS:GO skins (market.csgo.com) Developed the “Sell Items” page, handling high load and complex logic, leveraging Web Workers for performance optimization. Built reusable UI components, accelerating new feature development. Optimized the filter component with an OOP-driven approach, improving maintainability and scalability. Swapskins – skin marketplace and trading service (swapskins.com) Implemented new functionality to enhance system efficiency and improve user experience. Developed new components and large-scale modules. Created custom form validators for complex validation logic. Participated in code review and ensured code quality. Hard Skills: Angular, Angular Universal, TypeScript, JavaScript, RxJS, NgRx, GraphQL, Socket-Centrifuge, Unit Testing, Cypress, Tailwind. Soft Skills: Team collaboration, Agile/SCRUM methodology, code review, refactoring.","Angular, TypeScript, JavaScript, HTML5, CSS3, Git, SCSS, RxJs, NgRx, GraphQL, Unit Testing, Tailwind, REST, Узбекский — Родной, Английский — A2 — Элементарный, Русский — B2 — Средне-продвинутый","Frontend developer with 4+ years of experience in building high-load web applications. Specialized in Angular and TypeScript with strong expertise in creating scalable user interfaces, performance optimization, and real-time integrations. Experienced in state management (NgRx, Akita), UI libraries, testing, and Agile/SCRUM teamwork. Always eager to learn and take on new challenges in web development. Frontend: HTML5, CSS3, SCSS/SASS, responsive & cross-browser layout Languages: JavaScript (ES6+), TypeScript Frameworks: Angular 2+, Angular Universal State Management: NgRx, Akita UI Libraries: Angular Material, PrimeNG, Tailwind Reactive Programming: RxJS Tools & Technologies: Git, REST API, GraphQL, Web Workers, Socket-Centrifuge Testing: Jasmine, Cypress, unit testing, TDD Additional: D3.js, NgXF, email template development, localization (i18n, ngx-translate, Babel) Development Principles: OOP, SOLID, KISS, DRY","Таджикский Государственный Университет Права, Бизнеса, и Политики ИННОВАЦИЙ И ТЕЛЕКОММУНИКАЦИЙ , Программист","Узбекский — Родной, Английский — A2 — Элементарный, Русский — B2 — Средне-продвинутый",https://hh.ru/resume/004d9f6d0008f75c670039ed1f4f57534c3368
Кандидат,Frontend developer (Angular),Не указано,"Мужчина, 23 года","Запорожье , готов к переезду , готов к редким командировкам",Не указано,Опыт работы 4 года 2 месяца,Frontend developer (angular) в Agilie,Frontend разработка.,"Веб-программирование, JavaScript, CSS, HTML5, HTML, TypeScript, RxJs, SCSS, Angular, ООП, React, Next.js, SOLID, Русский — Родной, Английский — B1 — Средний, Украинский — C2 — В совершенстве","Ищу подработку на выходные или на вторую смену. На данный момент работаю в компании удалённо. Основной стек технологий: JavaScript, CSS, HTML, TypeScript, Angular, Angular Material, RxJs, Git. Также изучаю на данный момент: React, Next.js. Пару раз работал с такими технологиями, как : Node.js , Nest.js, Prisma, Sequelize, PostgreSQL. Также имею понимание ООП и SOLID принципов. Знание английского на уровне B1. Я в LinkedIn: https://www.linkedin.com/in/andrey-chuprina-3181a4219/","Запорожский национальный университет, Запорожье Микро и нано электроника; ""Запорізький фаховий коледж комп'ютерних технологій НУ ""Запорізька політехніка"" Телекоммуникации , Техник элекросвязей","Русский — Родной, Английский — B1 — Средний, Украинский — C2 — В совершенстве",https://hh.ru/resume/1f7650220009290ca70039ed1f634662375937
Кандидат,Angular Developer,Не указано,"Мужчина, 41 год","Мытищи (Московская область) , готов к переезду (Москва) , готов к редким командировкам",Не указано,Опыт работы 19 лет 10 месяцев,Frontend-разработчик в Индивидуальное предпринимательство / частная практика / фриланс,"Создание SPA-приложений, верстка лендингов, разработка и доработка сайтов.","CSS-верстка, Git, HTML-верстка, JavaScript, jQuery, jQuery UI, Sass, Scss, нативный javascript, умение понимать чужой код, Ext JS, SVN, grunt, MongoDB, Node.js, websocket, Angular, AngularJS, npm, Vue.js, TypeScript, Python, Django Framework, SQLite, HTML5, CSS3, HTML, Веб-программирование, Обучение и развитие, React, Русский — Родной, Английский — B2 — Средне-продвинутый","Меня зовут Дмитрий, я разработчик с опытом в веб-разработке и программировании. Я увлечён созданием качественных и эффективных решений, которые соответствуют задачам и потребностям пользователей. Ключевые навыки: - JavaScript: Уверенно владею современными технологиями фронтенда, создаю динамичные интерфейсы, работаю с библиотеками и фреймворками. - Python: Использую язык для автоматизации процессов, создания серверной логики и работы с данными. - Django: Знаком с основами фреймворка, могу работать над базовыми задачами и готов углублять знания для работы с более сложными проектами. Что меня отличает: - Ответственность: Всегда довожу начатое до конца, соблюдаю сроки и высокие стандарты качества. - Гибкость: Быстро осваиваю новые технологии и адаптируюсь к новым задачам. - Командный игрок: Умею взаимодействовать с коллегами, обмениваться идеями и работать на общий результат. - Желание развиваться: Постоянно учусь, интересуюсь новыми технологиями и стремлюсь к профессиональному росту. Моя цель — не просто писать код, а создавать решения, которые приносят реальную пользу. Я открыт к новым вызовам и готов вносить вклад в развитие вашей команды.","Московский государственный технический университет им. Н.Э. Баумана, Москва Факультет радиоэлектроники и лазерной техники , Радиофизика и электроника","Русский — Родной, Английский — B2 — Средне-продвинутый",https://hh.ru/resume/837460c80001e15df90039ed1f50383478386d
Кандидат,Angular 8,Не указано,"Мужчина, 39 лет","Саранск , не готов к переезду , не готов к командировкам",Не указано,Опыт работы 17 лет 10 месяцев,"Главный инженер-программист в АО ""Эволента""",Сопровождение одного из проектов компании (на angular 8): - выполнение/распределение контрактных задач - выполнение/распределиние задач по поддержке - ревью кода - рефакторинг легаси - разработка новых решений - описание и формирование релизов - обучение новых членов команды,"Delphi, MySQL, ORACLE, MSSQL, ООП, CSS, HTML, JavaScript, Git, PHP, MongoDB, Yii, Linux, Python, PostgreSQL, Vue/Vuex, Docker, Docker-compose, Flask, SQLAlchemy, AngularJS, Angular2+, Русский — Родной, Английский — A2 — Элементарный","В работе не люблю костылей и неоправданный техничестий долг. Открыт для общения и обмена опытом. Считаю что: - сложных задач нет, есть не декомпозированные =); - нужно советоваться с более опытными коллегами и постоянно развивать свои навыки; - важнее прокачать навык правильного подхода к разработке, нежели углубляться в тонкости какого-то конкретного языка (или фреймворка); В свободное время увлекаюсь ездой на велосипеде, стрельбой из лука, игрой на гитаре. Играю в волейбол, пин-понг.","Мордовский национальный исследовательский государственный университет им. Н.П. Огарева, Саранск Факультет электронной техники , АСОИиУ","Русский — Родной, Английский — A2 — Элементарный",https://hh.ru/resume/c10aee910001ac47f40039ed1f324d6a586749
