ФИО,Желаемая должность,Зарплата,Личная информация,Местоположение,Занятость и график,Общий опыт,Последнее место работы,Обязанности,Ключевые навыки,Обо мне,Образование,Языки,Ссылка
Кандидат,Frontend Angular developer,300 000 ₽ на руки,"Мужчина, 28 лет","Иркутск , готов к переезду , готов к командировкам",Не указано,Опыт работы 3 года 6 месяцев,Frontend-разработчик в ISPsystem,"Принимал участие в разработке платформы управления ЦОД-ами. Разрабатывал новую функциональность, правил баги, общался с техподдержкой, проводил ревью коллег. Работал над общими внутренними NX библиотеками. Немного успел потрогать UI библиотеку со stencil компонентами. Получил опыт работы в agile команде.","JavaScript, TypeScript, HTML5, CSS3, Angular, BEM, SCSS, RxJs, Git, Русский — Родной, Английский — A2 — Элементарный",Angular разработчик c опытом работы более двух лет. Вот pdf версия резюме: https://drive.google.com/file/d/1JmGPbUeksD4XNn9YwW9iVpzcNFx0qLSx/view?usp=drive_link,"Национальный исследовательский Иркутский государственный технический университет, Иркутск Кибернетики , Информационные системы и технологии; Front-End Mentoring Program EPAM Systems Inc. , Angular developer; Rolling Scopes School Rolling Scopes School , JAVASCRIPT/FRONT-END; Rolling Scopes School Rolling Scopes School , JAVASCRIPT/FRONT-END","Русский — Родной, Английский — A2 — Элементарный",https://hh.ru/resume/094a12cb0008ee01490039ed1f746565644d38
Кандидат,Frontend Developer -Angular,250 000 ₽ на руки,"Мужчина, 29 лет","Москва , готов к переезду , готов к командировкам",Не указано,Опыт работы 4 года 9 месяцев,Angular Frontend developer в onmoon,"Market CSGO – one of the largest marketplaces for buying and selling CS:GO skins (market.csgo.com) Developed the “Sell Items” page, handling high load and complex logic, leveraging Web Workers for performance optimization. Built reusable UI components, accelerating new feature development. Optimized the filter component with an OOP-driven approach, improving maintainability and scalability. Swapskins – skin marketplace and trading service (swapskins.com) Implemented new functionality to enhance system efficiency and improve user experience. Developed new components and large-scale modules. Created custom form validators for complex validation logic. Participated in code review and ensured code quality. Hard Skills: Angular, Angular Universal, TypeScript, JavaScript, RxJS, NgRx, GraphQL, Socket-Centrifuge, Unit Testing, Cypress, Tailwind. Soft Skills: Team collaboration, Agile/SCRUM methodology, code review, refactoring.","Angular, TypeScript, JavaScript, HTML5, CSS3, Git, SCSS, RxJs, NgRx, GraphQL, Unit Testing, Tailwind, REST, Узбекский — Родной, Английский — A2 — Элементарный, Русский — B2 — Средне-продвинутый","Frontend developer with 4+ years of experience in building high-load web applications. Specialized in Angular and TypeScript with strong expertise in creating scalable user interfaces, performance optimization, and real-time integrations. Experienced in state management (NgRx, Akita), UI libraries, testing, and Agile/SCRUM teamwork. Always eager to learn and take on new challenges in web development. Frontend: HTML5, CSS3, SCSS/SASS, responsive & cross-browser layout Languages: JavaScript (ES6+), TypeScript Frameworks: Angular 2+, Angular Universal State Management: NgRx, Akita UI Libraries: Angular Material, PrimeNG, Tailwind Reactive Programming: RxJS Tools & Technologies: Git, REST API, GraphQL, Web Workers, Socket-Centrifuge Testing: Jasmine, Cypress, unit testing, TDD Additional: D3.js, NgXF, email template development, localization (i18n, ngx-translate, Babel) Development Principles: OOP, SOLID, KISS, DRY","Таджикский Государственный Университет Права, Бизнеса, и Политики ИННОВАЦИЙ И ТЕЛЕКОММУНИКАЦИЙ , Программист","Узбекский — Родной, Английский — A2 — Элементарный, Русский — B2 — Средне-продвинутый",https://hh.ru/resume/004d9f6d0008f75c670039ed1f4f57534c3368
Кандидат,Frontend developer (Angular),Не указано,"Мужчина, 23 года","Запорожье , готов к переезду , готов к редким командировкам",Не указано,Опыт работы 4 года 1 месяц,Frontend developer (angular) в Agilie,Frontend разработка.,"Веб-программирование, JavaScript, CSS, HTML5, HTML, TypeScript, RxJs, SCSS, Angular, ООП, React, Next.js, SOLID, Русский — Родной, Английский — B1 — Средний, Украинский — C2 — В совершенстве","Ищу подработку на выходные или на вторую смену. На данный момент работаю в компании удалённо. Основной стек технологий: JavaScript, CSS, HTML, TypeScript, Angular, Angular Material, RxJs, Git. Также изучаю на данный момент: React, Next.js. Пару раз работал с такими технологиями, как : Node.js , Nest.js, Prisma, Sequelize, PostgreSQL. Также имею понимание ООП и SOLID принципов. Знание английского на уровне B1. Я в LinkedIn: https://www.linkedin.com/in/andrey-chuprina-3181a4219/","Запорожский национальный университет, Запорожье Микро и нано электроника; ""Запорізький фаховий коледж комп'ютерних технологій НУ ""Запорізька політехніка"" Телекоммуникации , Техник элекросвязей","Русский — Родной, Английский — B1 — Средний, Украинский — C2 — В совершенстве",https://hh.ru/resume/1f7650220009290ca70039ed1f634662375937
Кандидат,Frontend-разработчик,Не указано,"Мужчина, 34 года","Самара , м. Московская , не готов к переезду , готов к редким командировкам",Не указано,Опыт работы 4 года 2 месяца,Frontend-разработчик в АО «Программный регион»,"Создание веб-страниц, лендингов, разработка и поддержка пользовательского интерфейса с использованием Twig/SCSS/JavaScript (без фреймворков), сервисов на Vue.js. - Работа в команде, взаимодействие с backend, получение и отрисовка различных данных, разработка интерактивного функционала, анимации, QUIZ-страниц, оптимизация сайтов - Разработка сервисов на Vue.js (v3), работа с AXIOS, Pinia, Vuetify, Vuelidate, Tailwind. - Работа с Git - Интеграция различных рекламных библиотек, скриптов Google Recaptcha, Google Sign In, GTAG, Реализация сайтов как приложении PWA, подключение push-notifications. - Решение различных задач, от замены текстов до внедрения новых разделов с логикой, требующих работу с cookie, метками utm, асинхронными операциями, отрисовкой данных с бекенда.","JavaScript, Обучаемость, HTML5, CSS3, Vue.js, Vuex, Buefy, Vue router, Vee validate, Twig, Angular, TypeScript, Русский — Родной, Английский — A2 — Элементарный","Опыт работы в коммерческой разработке более 2х лет. Стек HTML,CSS,JS,TS, Sass,Twig, Vue.JS, Angular. В обязянности входит разработка сайтов, лендингов и пользовательского интерфейса, верстка email-рассылок и небольшой опыт верстки AMP-писем, сервисов на Vue.js. Обучаем, усидчив, люблю работать долго на одном месте (не фанат менять места работы). Ссылка на портфолио: https://fadhost91.github.io/","HTML Academy HTML Academy , Профессия “Frontend-разработчик”","Русский — Родной, Английский — A2 — Элементарный",https://hh.ru/resume/eaf666660008f316620039ed1f354b47497034
Кандидат,Angular Frontend Developer,180 000 ₽ на руки,"Мужчина, Не указано","Чебоксары , не готов к переезду , не готов к командировкам",Не указано,Опыт работы 8 лет 4 месяца,Frontend-разработчик в Иксперт,"- Разработка frontend части продукта на angular 10-18 версии, цель которой интеграция и управление данными предприятия. - Проектирование с нуля и реализация продвинутой системы авторизации с шифрованием (jwt token+crypto js). - Поднятие версий библиотек до актуальных, решение конфликтов версий при апгрейдах ( angular c 10 по 16 версии, ui библиотеки material , ant design, chart.js). - Активное участие в рефакторинге кода, повышение его читаемости и поддерживаемости. - Реализация адаптивных пользовательских интерфейсов под различные устройства. - Разработка и поддержка собственной библиотеки компонентов. - Проектирование и внедрение нового функционала. - Исправление багов , написание unit тестов (jasmine).","CSS, Веб-программирование, HTML5, CSS3, JavaScript, PHP, CMS Wordpress, Cms modx, Cms opencart, Cms prestashop, Vue.js, AngularJS, Git, Atlassian Jira, TeamCity, React.js, jQuery, Bootstrap, Кроссбраузерная верстка, HTML, Gitlab, npm, TypeScript, RxJS, Material UI, Angular, Умение разбираться в чужом коде, Адаптивная верстка, Тестирование, Русский — Родной, Английский — B2 — Средне-продвинутый","Участвовал в проектах на позициях как единственного frontend разработчика, так и в больших командах . Нахожу общий язык с коллегами , беру ответственность за результат, слежу за новыми трендами в своей области, обучаюсь и применяю современные подходы для достижения результатов.","Чувашский государственный университет имени И.Н. Ульянова, Чебоксары Факультет информатики и вычислительной техники , Программное обеспечение вычислительной техники и автоматизированных систем (инженер)","Русский — Родной, Английский — B2 — Средне-продвинутый",https://hh.ru/resume/6501ebb3000176c42c0039ed1f6a6f61627931
Кандидат,Frontend-разработчик Angular,4 200 $ на руки,"Мужчина, 31 год","Москва , не готов к переезду , готов к редким командировкам",Не указано,Опыт работы 8 лет 2 месяца,Angular Developer в Korkortsjakten,"Разработал с нуля клиентскую часть сайта на Angular 19 Состав команды: 2 фронтенд-разработчика, 2 бэкенд-разработчика, QA Отвечал за архитектуру, реализацию и интеграцию с REST API Проводил код-ревью","Angular, Git, RxJS, NgRx, PrimeNg, Material, Cypress, PHP, MySQL, PostgreSQL, Laravel, HTML, CSS3, Scss, Русский — Родной, Английский — B2 — Средне-продвинутый, Армянский — C2 — В совершенстве","Опытный разработчик фронтенда на Angular с фокусом на результат. Имею успешный опыт в создании веб-приложений с интуитивно понятным интерфейсом. Специализируюсь на разработке настраиваемых пользовательских опытов, оптимизации производительности и обеспечении высокой степени взаимодействия. Глубокие знания в Angular, HTML, CSS и JavaScript позволяют создавать инновационные и привлекательные веб-приложения. Работал с клиентами различных отраслей, обеспечивая успешную реализацию их потребностей и целей. Готов эффективно работать в команде и принимать вызовы различной сложности.","ASUE Management , Management","Русский — Родной, Английский — B2 — Средне-продвинутый, Армянский — C2 — В совершенстве",https://hh.ru/resume/dd834f6000078b75310039ed1f4d4142776756
Кандидат,Frontend-разработчик,230 000 ₽ на руки,"Мужчина, 25 лет","Уфа , не готов к переезду , готов к командировкам",Не указано,Опыт работы 4 года 8 месяцев,"Frontend-разработчик в ИскраУралТел, ЗАО",Разработка системы на Angular,"JavaScript, HTML, CSS, Git, Ajax, React, Redux, Node.js, React-Redux, Npm, Redux-Thunk, SCSS, Typescript, Apollo client, Graph QL, Testing-library/react, styled-components, Redux-Saga, Angular, Rxjs, d3.js, AngularJS, Threejs, Русский — Родной, Английский — B1 — Средний",Обучаться Js начал в 2019 году. В 2020 году перешел на React и разрабатывал на нем до 2022 года. Весной 2022 года устроился в компанию Tetacom frontend (Angular) разработчиком.,Уфимский государственный колледж технологий и дизайна Информационные системы (по отраслям),"Русский — Родной, Английский — B1 — Средний",https://hh.ru/resume/0702636e000705b0330039ed1f71434b724447
Кандидат,Frontend-разработчик Angular,Не указано,"Мужчина, 27 лет","Москва , не готов к переезду , не готов к командировкам",Не указано,Опыт работы 5 лет 3 месяца,Frontend-разработчик в Транснефть-Технологии,Разработка внутренних трубопроводных систем.,"JavaScript, CSS, HTML, MS Office, Atlassian Jira, Angular material, Ionic framework, Atlassian Confluence, Git, Cordova, Capasitor, Angular, Figma, Python, Tailwind, Rxjs, Ngrx, Leaflet, Русский — Родной, Английский — C1 — Продвинутый, Немецкий — A2 — Элементарный","Люблю изучать новые технологии и фичи, а также применять их на практике. Охотно решаю интересные и сложные задачи. Ищу компанию, которой могу быть полезен, работа в которой поможет мне вырасти в профессиональном плане.","Московский физико-технический институт (Государственный университет), Москва Радиотехники и кибернетики , Прикладная математика и физика","Русский — Родной, Английский — C1 — Продвинутый, Немецкий — A2 — Элементарный",https://hh.ru/resume/73c0a3970007ef38950039ed1f4d7631475051
Кандидат,Frontend-разработчик Angular,250 000 ₽ на руки,"Женщина, 41 год","Симферополь , не готова к переезду , готова к редким командировкам",Не указано,Опыт работы 18 лет,"Frontend-разработчик в ОАО ""ARTENIX""",разработка административной панели для работы методологов в системе,"JavaScript, AngularJS, Sass, jQuery, HTML5, CSS3, Git, CSS, Bootstrap, Ajax, SVN, Adobe Photoshop, Верстка, MVC, REST, Кроссбраузерная верстка, HTML, Web Design, Gulp, JSON, Английский язык, Webpack, Material Design, Angular Material, Angular 17, NgXs, RxJs, JSON API, npm, Русский — Родной","Ответственность, умение работать в команде, знание английского (upper intermediate), быстрая обучаемость, стремление к самосовершенствованию и улучшению кода","Таврический национальный университет им. В.И. Вернадского, Симферополь психология , социальная психология; Таврический национальный университет им. В.И. Вернадского, Симферополь филологический , журналистика; Курс JavaScript/DOM/интерфейсы javascript.ru , javascript",Русский — Родной,https://hh.ru/resume/9eccb5aa0004595fbd0039ed1f37715a713743
Кандидат,Front-end разработчик (Angular),Не указано,"Мужчина, 25 лет","Новосибирск , не готов к переезду , готов к редким командировкам",Не указано,Опыт работы 4 года 8 месяцев,Angular-разработчик в «Предприятие «ЭЛТЕКС»,"В основном работа на одном проекте - десктопное приложение, корпоративный мессенджер. Чем занимался: - разработка ангуляр приложения в обертке electron под windows, linux и macOS - улучшение существующего функционала приложения - разработка новых фич - код ревью - рефакторинг устаревшего кода - аналитика - разработка архитектуры приложения, написание спецификаций и документаций - взаимодействие с бэкендом через rest и вебсокеты - куча rxjs - совсем немного верстки","JavaScript, HTML5, CSS3, ООП, Git, TypeScript, BEM, Adaptive and responsive, Sass, Angular, Rxjs, Angular material, electron, ngrx, jssip, Python, Figma, Websockets, React, ChartJS, Redux, Leaflet, React router, AngularJS, Highcharts, GraphQL, Армянский — Родной, Английский — B1 — Средний, Русский — C2 — В совершенстве",https://t.me/rudi_1313,"Томский государственный университет систем управления и радиоэлектроники, Томск Факультет систем управления , Информатика и вычислительная техника; Томский государственный университет систем управления и радиоэлектроники, Томск Tagree , Front-end start","Армянский — Родной, Английский — B1 — Средний, Русский — C2 — В совершенстве",https://hh.ru/resume/2ecd34390005c9d9b20039ed1f49416e587030
