ФИО,Желаемая должность,Зарплата,Личная информация,Местоположение,Занятость и график,Общий опыт,Последнее место работы,Обязанности,Ключевые навыки,Обо мне,Образование,Языки,Ссылка
Кандидат,Frontend-разработчик,60 000 ₽ на руки,"Мужчина, 32 года","Краснодар , не готов к переезду , не готов к командировкам",Не указано,Опыт работы 3 года 8 месяцев,Frontend-разработчик в Udemy,Frontend-разработчик,"Работа в команде, быстрая обучаемость, React, JavaScript, HTML, CSS, SCSS, Redux toolkit, React router, Flexbox, Grid, Type Script, Русский — Родной, Английский — A1 — Начальный","Заинтересовался Frontend-разработкой в начале 2022 года и понял что это мое, и очень хочу развиваться в этой сфере! Прошел курсы на GeekBrains, Stepik, курс на udemy ""Полный курс по JavaScript, React + Redux"", react sneakers, react pizza. Умею: Работать с Flexbox, Grid и JavaScript. Правильно использовать переменные, числа и строки. Верстать сайт, делать адаптив и кроссбраузерность. Использовать выражения в JavaScript. Импортировать и экспортировать модули. Создавать интерактивные веб-страницы. Работать с файлами и медиаресурсами. Применять принципы клиент-серверного взаимодействия. Создавать одностраничные веб-приложения (SPA). Имеются навыки использования библиотеки React с использованием хуков (useState, useEffect, useRef, useCallback, useContex), JSX, Redux, Redux toolkit, React Router, Virtual Dom, использование библиотеки lodesh. На данный момент в процессе изучения TypeScript и Vue.js. Есть несколько пет проектов, ссылка git https://https://github.com/lenfack","Кубанский государственный технологический университет, Краснодар Экономики управления и бизнесса , Государственное и муниципальное управление; Stepik Антон Холин , JavaScript для начинающих; GeekBrains GeekBrains , Основы программирования; GeekBrains GeekBrains , Git базовый курс; GeekBrains GeekBrains , Основы ООП; React - , -","Русский — Родной, Английский — A1 — Начальный",https://hh.ru/resume/e981d171000346f5e00039ed1f584d6877304c
Кандидат,Frontend,Не указано,"Мужчина, 32 года","Москва , готов к переезду , готов к командировкам",Не указано,Опыт работы 7 лет 10 месяцев,Frontend-разработчик в WWS,"Всем привет, меня зовут Эрнст, 2 года занимаюсь Frontend разработкой, за это время уверенно владею JS(es6)(замыкания,callback,fetch),CSS3(SCSS),HTML5,NPM,GIT,JSON,REST API, BOOTSTRAP 4,axios, MaterialUI , Styled Components(верстка под любые девайсы),PhotoShop,JQuery,JSX,ReactJS,React-Router . Базовые знания в Redux,redux-thunk, Node.js , Express(могу самостоятельно написать простой API get/post/delete, с использованием Firebase) быстро обучаюсь. Хочу попасть в сильную команду Frontend разработчиков которые не стоят на месте, чтобы развиваться 24/7 с интересом выполню ваше ТЗ.","JavaScript/ES6, HTML5/CSS3, Bootstrap4, Git, npm, ReactJS, jQuery, Promise, Async/await, Rest API, Fetch api, Context api, Axios, Semantic-ui, Sass, Базовые знания Redux/redux-thunk/logger, Babel, Jsx/VirtualDOM, Понимание event loop, Генераторы, React-Router, Styled-components, Proptypes, Имутабельность, Чистые функции, Use state, Use effect, Русский — Родной, Английский — A1 — Начальный","GitHub (https://github.com/kushaev93) Всем привет, меня зовут Эрнст, 2 года занимаюсь Frontend разработкой, за это время уверенно владею JS(es6)(замыкания,callback,генераторы),CSS3(SCSS),HTML5,NPM,GIT,JSON,REST API, BOOTSTRAP 4,(верстка под любые девайсы),PhotoShop,JQuery,JSX,ReactJS, Redux,redux-thunk, axios,MaterialUI быстро обучаюсь. с интересом выполню ваше ТЗ.","Тапк Техническое обслуживание летательных аппаратов и авиадвигателей , Авиамеханик","Русский — Родной, Английский — A1 — Начальный",https://hh.ru/resume/7033b2e80005baef1f0039ed1f695435466a64
Кандидат,Frontend-разработчик,Не указано,"Мужчина, 28 лет","Москва , м. Красногвардейская , не готов к переезду , не готов к командировкам",Не указано,Опыт работы 9 лет 7 месяцев,Frontend-разработчик в Индивидуальное предпринимательство / частная практика / фриланс,Разработка Frontend сайта,"HTML5, CSS3, JavaScript, jQuery, CMS Wordpress, Joomla CMS, Ajax, Linux, Yii, XML, AngularJS, Bootstrap, Git, HTML, MySQL, Русский — Родной","Студент МИРЭА , оканчиваю в январе 2021 года , в свободное время изучаю новые технологии Full Stack разработки","Московский государственный технический университет радиотехники, электроники и автоматики, Москва Кибернетика , Информационная безопасность телекоммуникационных систем; Яндекс Практикум Яндекс , Frontend разработчик",Русский — Родной,https://hh.ru/resume/86496d7d00073093360039ed1f575672324b4d
Кандидат,Frontend-разработчик,Не указано,"Мужчина, 37 лет","Москва , не готов к переезду , не готов к командировкам",Не указано,Опыт работы 3 года 5 месяцев,Frontend-разработчик в ИТССМАРТ,"- разработка frontend-части криптовалютного приложения на React\TypeScript с нуля - создание структуры приложения, основных компонентов - типизация данных - разработка модулей и компонентов для реализации бизнес-логики - настройка взаимодействия между компонентами, стейт-менеджмент - рефакторинг, проведение code-review - работа в команде с Senior-разработчиком и UI\UX дизайнером СТЕК ТЕХНОЛОГИЙ: React(Redux), JavaScript, TypeScript, HTML5, CSS3, SASS, БЭМ, Vite, npm, Git, MySQL, Docker","HTML5, CSS3, jQuery, Bootstrap, SCSS, CSS, Sass, BEM, JS, HTML, Веб-разработка, Webpack, Git, Java Script, npm, REST API, React, TypeScript, Node.js, JavaScript, Проектирование пользовательских интерфейсов, Frontend, БЭМ, Web Application Development, React.js, GitHub, JSON, Русский — Родной, Английский — C2 — В совершенстве, Немецкий — B1 — Средний","Мой основной стек - React, JavaScript (jQuery), TypeScript, HTML5, CSS3 (SASS, Bootstrap, Tailwind, Ant Design), Webpack, Node.js, Git. Также владею основными графическими программами - Photoshop, Illustrator, InDesign, Sketch, Figma. Свободно владею английским, легко вливаюсь в новый коллектив. Планирую развиваться как frontend React-разработчик, в перспективе - вырасти в fullstack веб-разработчика. Примеры моего кода на GitHub - https://github.com/Paladin-Tim?tab=repositories Мое портфолио - https://freelance.ru/paladintim Связаться со мной можно в Telegram: https://t.me/paladin_tim или по почте: timmymark.workmail@gmail.com","Российский университет дружбы народов, Москва Юридический , Гражданский процесс; React-разработчик Result University , Frontend-разработка на React; Frontend-разработчик МФТИ, Яндекс , Разработка интерфейсов; МФТИ Яндекс , Разработка интерфейсов: дипломный проект","Русский — Родной, Английский — C2 — В совершенстве, Немецкий — B1 — Средний",https://hh.ru/resume/656b79ee00063fe8fd0039ed1f496f59705078
Кандидат,Frontend-разработчик,230 000 ₽ на руки,"Мужчина, 23 года","Москва , м. Новокосино , не готов к переезду , не готов к командировкам",Не указано,Опыт работы 4 года 8 месяцев,Frontend-разработчик в Lofty.,"Frontend developer на маркетплейсах игровых товаров kupikod/pressf. Обязанности: 1. Разработка проектов с нуля 2. Поддержка уже работающих проектов 3. Участие в обсуждении архитектурных решений 4. Обсуждение контракта с backend отделом 5. Участие в обсуждениях frontend технологий используемых для наших проектов, для улучшения стабильности/поддерживаемости проектов компании 6. WIP Достижения: 1. Покрыл тестами composobles и utils при помощи vitest 2. Покрыл тестами основные flow пользователя при помощи e2e тестов на playwright 3. Успешно реализовал crm платформу в сжатые сроки на nuxt(spa) + vuetify 4. Быстро реализовал идеи Product менеджеров, в следствии чего доход компании вырос 5. Реализовал систему ""Premium подписок"" для страницы пополнения ""Steam"", а также ее отображение для пользователей в личном кабинете. 6. Реализовал множество витрин товаров по играм, в том числе telegram NFT gifts, с lottie анимацией для каждого товара. 7. Вместе с командой успешно выпустили MVP для сайта pressf, а также успешно реализовали переход на DDD архитектуру и выпуск второй мажорной версии сайта. 8. Настройка Lighthouse ci/cd в связке с Grafana, для сбора perfomance данных проектов с историей изменения метрик. 9. WIP","Git, Vuetify, Scss, Nuxt, VueJS, HTML, GraphQL, tailwind, postcss, Sass, Vuex, pinia, CSS3, REST API, Axios, Адаптивная верстка, i18n, strapi, JavaScript, Agile Project Management, vite, Bootstrap, БЭМ, Scrum, Agile, React, Webpack, TypeScript, Node.js, Nginx, Русский — Родной, Английский — B2 — Средне-продвинутый, Сербский — A1 — Начальный","Имею опыт разработки в командах с использованием trello/youtrack. Работал с использованием методологий agile, scrum, kanban. Постоянно углубляюсь в свой стек технологий, а также расширяю его. Помимо работы, в свободное время занимаюсь петпроектами и посещением конференций. Интересные проекты: рдш.рф - проект на vue.js + typescript + vuetify, делал визуальный редактор для создания или редактирования страниц на сайте. Также писал администраторскую панель с использованием vuex, REST API, swagger. Также настраивал свой проект studymap.ru, как на обычном vue.js + vuex + vue-router, так и с использованием микрофреймворка Nuxt 3 + tailwind + pinia + composition api. gitlab:https://gitlab.com/maks95977 telegram(Предпочтительно для связи): https://t.me/Maksim_kukuskin Ссылки на зарегистрированные проекты: https://new.fips.ru/registers-doc-view/fips_servlet?DB=EVM&DocNumber=2021680024&TypeFile=html https://new.fips.ru/registers-doc-view/fips_servlet?DB=EVM&DocNumber=2021669623&TypeFile=html","Московский институт технологий и управления Прикладная информатика , Вычислительные машины, комплексы, системы и сети (инженер); Университетский колледж информационных технологий Прикладная информатика (по отраслям) , Техник-программист; frontend-разработчик geekbrains","Русский — Родной, Английский — B2 — Средне-продвинутый, Сербский — A1 — Начальный",https://hh.ru/resume/d87240420007c5c7570039ed1f6243774a3644
Кандидат,Frontend-разработчик,Не указано,"Мужчина, 28 лет","Санкт-Петербург , готов к переезду , готов к командировкам",Не указано,Опыт работы 5 лет 6 месяцев,Frontend-разработчик в Веб-студия WAPP,"Небольшая веб-студия, которая занимается созданием сайтов, личных кабинетов и корпоративных веб-приложений для малого и среднего бизнеса. Занимаюсь разработкой клиентской части проектов: верстаю страницы и интерфейсы, реализовываю формы, таблицы, модальные окна и различные интерактивные элементы. Участвую в разработке от планирования задач до релиза, тесно взаимодействуя с backend-разработчиками, QA, дизайнерами и product-менеджером. Задачи: - Верстка и разработка страниц сайтов и личных кабинетов на React + TypeScript. - Создание интерактивных, переиспользуемых компонентов: формы, модальные окна, выпадающие списки, табы, кнопки и тд. - Работа по архитектуре FSD. - Рефакторинг кода. - Интеграция с REST API. - Оптимизация производительности (виртуализация списков, code splitting, асинхронные редьюсеры, асинхронные компоненты, использование бандл анализаторов, асинхронная подгрузка библиотек). - Unit- и e2e-тесты (Jest + RTL, Cypress). Достижения: - Реализовал ряд сложных форм для личных кабинетов (регистрация, профиль, редактирование данных). - Разработал фильтры, поиск и настройки прав доступа для разных ролей пользователей. - Создал библиотеку переиспользуемых UI-компонентов → ускорил разработку новых страниц и функционала для команды. - Обеспечил надёжную доставку уведомлений и гибкие настройки подписок для пользователей. - Настроил feature flags → безопасный и поэтапный релиз функций для разных групп пользователей. - Настроил CI/CD и автоматические тесты → сократил время релиза и повысил стабильность продукта. - Провёл рефакторинг ключевых компонентов, улучшив читаемость и переиспользуемость кода. - Настроил мультиязычность интерфейсов → расширил возможности продуктов для клиентов.","HTML5, CSS3, JavaScript, TypeScript, React, Redux, Gulp, ES6+, Redux Toolkit, SCSS/SASS, Tailwind CSS, REST API, MongoDB, MUI, Webpack, Git, Node.js, Jest, Express.js, Cypress, RTL, Vite, Vue.js, Русский — Родной, Английский — B1 — Средний","Frontend-разработчик (React + TypeScript), более 3 лет опыта: от фриланса до коммерческих проектов в веб-студии и стартапе. Есть опыт запуска проектов с нуля, умею писать чистый и поддерживаемый код, работать в команде и приносить результат для бизнеса. Целеустремленный, стрессоустойчивый, спокойный, неконфликтный, готов брать на себя ответственность за результат. Владею английским языком на уровне, достаточным для поиска информации и чтения документаций. Подхожу к написанию кода ответственно и внимателен к каждой детали. Мне нравятся интересные задачи, которые позволяют прогрессировать и становиться лучше. Умею находить нужную информацию в интернете. Стремлюсь к постоянному развитию, быть полезным для компании, сотрудничать долгое время и достигать вместе больших целей :) Мой GItHub: https://github.com/markel496 Telegram: @markel964","Санкт-Петербургский государственный университет аэрокосмического приборостроения, Санкт-Петербург Факультет радиотехники, электроники и связи , Радиотехника; Продвинутый Frontend. В Production на React Ulbi TV , Frontend-разработчик; Санкт-Петербургский государственный университет аэрокосмического приборостроения Санкт-Петербургский государственный университет аэрокосмического приборостроения , Основы конструкции авиационной техники","Русский — Родной, Английский — B1 — Средний",https://hh.ru/resume/b1591a100003f757050039ed1f3267714f4c66
Кандидат,Frontend-разработчик,Не указано,"Мужчина, Не указано","Сочи , готов к переезду , готов к командировкам",Не указано,Опыт работы 2 года 6 месяцев,Frontend разработчик в Result University,"1 - Разработал Fullstack приложение интернет магазина. Используемый стек: React, redux toolkit, rest api, nestJs, postgres. https://andreypachalia.ru/shop 2 - Разработал информационный сайт на React/nextjs Используемый стек: Nextjs, graphql, nestjs, postgres. https://andreypachalia.ru Командная работа по разработке сайта. Моя роль: 1 - Реализовал Redux Store 2 - Разработка архитектуры проекта 3 - Создал компонент Избранное 4 - Создал компонент BreadCrumbs 5 - Добавил PropTypes 6 - Организовал роутинг https://jkerdley.github.io/reacthackathon/","React, NextJs, REST API, NestJs, Node.js, HTML5, CSS3, JavaScript, GraphQL, PostgreSQL, Русский — Родной","Frontend разработчик. Специализируюсь на React/next приложениях. Взаимодействую с формами, graphql, rest api. Не боюсь сложных задач. Легко вливаюсь в коллектив. Готов участвовать в росте и развитии компании.","Result University Frontend Developer , Frontend Developer. React; WayUp JavaScript: Новый Уровень, Программирование на Javascript , Разработчик JavaScript; ВВКФ, Вёрстка WayUp , Вёрстка",Русский — Родной,https://hh.ru/resume/7da7261f000859da470039ed1f777953776d37
Кандидат,Frontend разработчик,Не указано,"Мужчина, 30 лет","Москва , не готов к переезду , готов к командировкам",Не указано,Опыт работы 5 лет 11 месяцев,Frontend разработчик в Лента,"Роль: Senior frontend-разработчик Проект: https://lenta.com/ Задачи: ▸ Разработка основного сайта для онлайн-заказов в кросс-функциональной команде из 15 человек, включая 8 frontend-разработчиков (React/Next.js). ▸ Построение и рефакторинг архитектуры приложения для масштабируемости. ▸ Создание библиотеки для обработки SDUI-элементов. ▸ Интеграция микрофронтендов на React и Angular. ▸ Оптимизация клиентской части приложения. ▸ Оптимизация процессов CI/CD, настройка кэширования пакетов. Достижения: ▸ Разработал более 15 компонентов для UI-kit, улучшив единообразие интерфейсов и ускорив процесс разработки. ▸ Оптимизировал производительность приложения, увеличив показатель performance в Lighthouse на 20 пунктов. ▸ Собрал и выкатил более 10 стабильных релизов, обеспечив своевременную доставку обновлений. ▸ Добавил требование минимального покрытия кода тестами (85%) в CI/CD и увеличил фактическое покрытие с 50% до 85%, повысив качество кода и автоматизацию процессов. ▸ Разработал кастомное решение для интеграции микрофронтов React и Angular, обеспечив их взаимодействие и обмен компонентами. ▸ Инициировал ежемесячные встречи с командой для обсуждения трендов в веб-разработке, что улучшило обмен знаниями и повысило вовлечённость команды. Стек: JavaScript, TypeScript, React, Next.js, Jotai, React Query, Styled-components, Sass, Vite, Vitest, Nx.","JavaScript, TypeScript, React, Redux, Redux saga, CSS3, Bootstrap, Styled components, Webpack, Git, Node.js, SSR, Next.js, Vite, Jotai, Nx, HTML, Ant design, CI/CD, REST API, REST, API, HTTP, HTML5, CSS, Jest, Русский — Родной, Английский — B2 — Средне-продвинутый","Frontend-разработчик с 5+ годами коммерческого опыта в React, TypeScript, Next.js. Специализируюсь на проектировании архитектуры, оптимизации производительности, построении UI-китов и микрофронтендов. Опыт внедрения CI/CD, покрытия кода тестами, работы в кросс-функциональных командах. Ищу позицию Frontend Developer с удалёнкой или гибридным форматом. Контакт: @IgorSeninDev","Санкт-Петербургский государственный университет, Санкт-Петербург Прикладной математики – процессов управления","Русский — Родной, Английский — B2 — Средне-продвинутый",https://hh.ru/resume/96a6c3390008b7489f0039ed1f636d436e6145
Кандидат,Frontend разработчик,Не указано,"Мужчина, 27 лет","Хабаровск , готов к переезду , не готов к командировкам",Не указано,Опыт работы 4 года 5 месяцев,Frontend-разработчик в -,"Компания разрабатывает мобильное приложение и личный кабинет для жителей, обслуживаемых управляющими компаниями. Отвечаю за фронтенд-разработку личного кабинета с учётом различных ролей пользователей: жильцы, исполнители (сантехники, управляющие, юристы и др.) и операторы колл-центра (диспетчеры). - Построил архитектуру фронтенд-приложения (React + TypeScript + Redux Toolkit), ориентированную на масштабируемость и поддержку разных пользовательских ролей - Создал UI-kit с нуля, включая дизайн (Figma) и реализацию компонентов; - Разработал расширение Chrome, автоматизирующее действия техподдержки - Написал нагрузочные тесты с использованием инструмента Grafana/K6 и unit-тесты, что позволило увидеть слабые места; - Проводил code review и менторство Junior-разработчиков - Участвовал в backend-разработке на Node.js и Go - Ответственен за техническую поддержку продукта - Настройка конфигураций Webpack и ESLint Технологии: Frontend: React, TypeScript, Redux Toolkit, RTK Query, React Hook Form, WebSocket, Webpack; Backend: Node.js, Go (Basic); Инструменты: Git, Webpack, Docker, Chrome Extensions, Grafana/K6; UI/UX: Figma, UI-kit design;","JavaScript, Исполнительность, HTML, CSS, React, Git, Webpack, TypeScript, Redux Toolkit, WebSocket, Node.js, Аналитическое мышление, UI, Русский — Родной","Frontend - разработчик с 4+ годами коммерческого опыта. Интересна продуктовая разработка, проектировании архитектуры, разработка UI-библиотек. Самостоятельно веду фичи от идеи до релиза, участвую в менторстве и развитии команды. Есть опыт backend-разработки на Node.js и Go. Интересует рост, как в сторону тимлидства, так и расширение в сторону фулстек-разработки. В свободное время разрабатываю бота по изучению иностранного языка, запоминанию новых слов по методике ученого Эббингауза.","Тихоокеанский государственный университет, Хабаровск Инженерно-строительный , Строительство автомобильных дорог, мостов, тоннелей",Русский — Родной,https://hh.ru/resume/ef9c8f9b000525057e0039ed1f376d32414a32
Кандидат,Frontend-разработчик,135 000 ₽ на руки,"Женщина, 25 лет","Санкт-Петербург , готова к переезду , готова к редким командировкам",Не указано,Опыт работы 6 лет 6 месяцев,Frontend-разработчик в Софтлоджик Рус,"Разработка решений для контроля городской среды и управления подрядчиками с использованием нейросетевых технологий. Разработки новых разделов личного кабинета: от проектирования и реализации до интеграции с бэкендом. Создание с нуля админ-панели для настройки клиентских личных кабинетов, что увеличило оперативность работы команды, сократило количество обращений к разработчикам для внесения изменений в базу данных. Оптимизация производительности существующих компонентов и проведение рефакторинга для повышения стабильности приложения. Технологический стек: React, TypeScript, Vite, Redux Toolkit, RTK Query, Ant Design, Tailwind CSS, Gitlab.","HTML5, JavaScript, CSS3, Git, jQuery, PHP, Webpack, CMS Wordpress, MySQL, Docker, React, Next.js, Strapi, PostgreSQL, Русский — Родной, Английский — B1 — Средний","Ищу не просто работу, а место для долгосрочного роста и развития вместе с коллегами. Ценю эффективность и осознаю ответственность за общие цели, поэтому привыкла работать на результат, уважая время и задачи команды. Для меня важно видеть, как мой вклад помогает достигать общих успехов. Курсы и сертификаты • Пройдено обучение в GeekBrains на факультете frontend разработки (https://gb.ru/geek_university) в 2020 году был закончен курс по верстке от Вадима Прокопчука (от 0 до 1). • После окончания курса по верстке начала работать на фрилансе. Появился постоянный заказчик из Канады долгое время работали с ним. Была не большая команда, с которой я взаимодействовала, это дизайнер и backend разработчик. Дополнительная информация • Готова к удаленной работе и релокации Примеры работ Линый кабинет https://softlogic.ai/ https://visit-primorye.ru/ https://itspace.services/ https://videokot.ru/ https://lavaagency.ru/ https://dct-logistics.ru/ https://lptvdesign.com/ https://baza-stroika.ru/ https://platinum.fit/ https://gkfasad.ru/ https://atomautotrade.ru/ https://tigerwoods.ru/ https://voyagerhouse.ru/ https://fec-logistic.com/ https://zavod-synergy.ru/","МБОУ лицей 41; Geekbrains Geekbrains , Frontend; Geekbrains Geekbrains , Frontend","Русский — Родной, Английский — B1 — Средний",https://hh.ru/resume/9f5ddd6b0007e1e51f0039ed1f415552357a57
