ФИО,Желаемая должность,Зарплата,Личная информация,Местоположение,Занятость и график,Общий опыт,Последнее место работы,Обязанности,Ключевые навыки,Обо мне,Образование,Языки,Ссылка
Кандидат,Java-разработчик,Не указано,"Мужчина, 32 года","Пермь , готов к переезду (Екатеринбург, Казань, Краснодар, Москва, Санкт-Петербург) , не готов к командировкам",Не указано,Опыт работы 11 лет 3 месяца,Java-разработчик в Проектная деятельность,"Технологии и инструменты, с которыми работал: - Языки: Java SE - Фреймворки: Spring Boot 3, Spring Cloud (Config, Eureka, Gateway), Spring Data, Hibernate ORM, Spring Security, Swagger - Базы данных: SQL, PostgreSQL, H2, Liquibase - Микросервисы: gRPC, Kafka, Feign-клиенты - DevOps: Docker, Docker Compose - Инструменты разработки: Maven, Git, Postman - Тестирование: JUnit, Mockito - Дополнительные: Querydsl, Circuit Breaker, Avro, Protobuf Примеры выполненных проектов: 1. Система управления банковскими картами: - Технологии: Java 21, Spring Boot 3, Spring Security, Spring Data JPA, PostgreSQL, Liquibase, Swagger, Docker, Docker Compose, JUnit, Mockito - Ключевые достижения: - Аутентификация с помощью Spring Security + JWT - Разделение доступа по ролям - Управление миграциями БД с помощью Liquibase 2. Платформа для организации и поиска мероприятий - Микросервисная архитектура на основе Spring Cloud: Config, Eureka, Gateway - Ключевые достижения: - Внедрение паттерна Circuit Breaker - Разработка рекомендательной системы на основе косинусного сходства - Интеграция с Kafka для асинхронной коммуникации - Использование бинарных форматов данных (Avro, Protobuf) 3. Система умного дома - Технологии: Spring Boot 3, Spring Data JPA + Hibernate, PostgreSQL, Spring Cloud, Avro, Protobuf - Особенности: - Микросервисная архитектура - Обработка данных с датчиков - Интеграция с интернет-магазином - Коммуникация через Kafka, gRPC, Feign-клиенты","PostgreSQL, Spring Boot, SQL, Apache Maven, Mockito, Hibernate, Git, JUnit, gRPC, Алгоритмы и структуры данных, REST API, Java Core, Spring Data JPA, JDBC, Liquibase, Swagger, Apache Kafka, Spring Cloud, Docker, Docker-compose, Spring Security, Spring Cloud Config, Service Discovery: Eureka, Spring Cloud Feign, Circuit Breaker, Spring Cloud Gateway, Protocol Buffers, Apache Avro, Микросервисная архитектура, Русский — Родной, Английский — A1 — Начальный","Пришёл в IT-сферу из сферы медицины, где около 10 лет работал в онкологическом диспансере медицинским физиком. Выбрал Java за его надёжность и кроссплатформенность, а также широкие возможности для работы в различных сферах. Активно совершенствую свои навыки, изучая ООП-паттерны, алгоритмы и работая над личным проектом — сервисом учёта инвестиций. Читаю статьи на Хабр, baeldung.com. Слежу за обновлениями Java и Spring через профессиональные сообщества, например Spring АйО. Помимо IT, увлекаюсь выращиванием бонсай на балконе, что помогает мне находить баланс между техническим мышлением и творческим подходом.","Пермский государственный национальный исследовательский университет Физический , Радиофизика и электроника; Java - разработчик. Расширенный Яндекс Практикум , Java - разработчик","Русский — Родной, Английский — A1 — Начальный",https://hh.ru/resume/699324ff00026360b60039ed1f5941585a6d48
Кандидат,Java-разработчик,360 000 ₽ на руки,"Мужчина, Не указано","Москва , м. ВДНХ , не готов к переезду , готов к редким командировкам",Не указано,Опыт работы 5 лет 6 месяцев,Java-разработчик в Broadview,"Разработка проектов (Java, SQL, HTTP-client, REST, микросервисы, фронтэнд: Angular, React)","Java, Git, Spring Framework, Spring Data, Spring Cloud, Spring Boot, SQL, PostgreSQL, MySQL, NoSQL, Redis, Docker, Apache Kafka, RabbitMQ, ActiveMQ, ООП, Hibernate, Hibernate ORM, Spring WebFlux, REST, REST API, API, JUnit, Apache Maven, Gradle, JavaScript, React, Angular, Grafana, Swagger, Русский — Родной, Английский — B1 — Средний","Java-разработчик с 5 годами коммерческого опыта: - реализация полноценных сервисов: backend Java, SQL, frontend Angular, React; - использование современных подходов к разработке, например, реактивный стек (Reactor/WebFlux).; - анализ требований, выбор стека, написание кода и тестов, исправление ошибок, доработки; - взаимодействие с командой внедрения по уточнению требований, выбору технического решения, тестированию, доработкам. Работал в командах от 5 до 20 человек. Запускал сервисы с нуля: от замысла до ввода в эксплуатацию и технической поддержки. Также есть опыт по доработкам существующих решений на устаревшем стеке. По прошлой специальности имею большой опыт в реализации крупных проектов системной интеграции в области телевидения.","МИРЭА — Российский технологический университет, Москва РТС , Конструирование и производство радиоэлектронных средств и систем","Русский — Родной, Английский — B1 — Средний",https://hh.ru/resume/b8da2f1d000857eade0039ed1f4e6650434c45
Кандидат,Java-разработчик,350 000 ₽ на руки,"Мужчина, 40 лет","Москва , не готов к переезду , готов к редким командировкам",Не указано,Опыт работы 9 лет 9 месяцев,Java Разработчик в Crypton Studio,"Выполнение задач, поставленных руководителем проекта. Анализ, проектирование, разработка ПО. Ведение проектной документации. Согласование действий с другими разработчиками при проведении совместных разработок.","Работоспособность, Ответственность, Стрессоустойчивость, Java, Spring Framework, PostgreSQL, Jenkins, Ansible, DevOps, vcs, Docker, Gradle, NoSQL, OpenShift, Русский — Родной, Английский — B2 — Средне-продвинутый",Не указано,"Национальный исследовательский Томский политехнический университет, Томск","Русский — Родной, Английский — B2 — Средне-продвинутый",https://hh.ru/resume/e7e89c65000883ebcb0039ed1f4e5533335247
Кандидат,Java-разработчик,150 000 ₽ на руки,"Мужчина, 34 года","Москва , готов к переезду , готов к командировкам",Не указано,Опыт работы 8 лет 11 месяцев,Java-разработчик в AstonDev,"Разработка серверной логики и REST API с использованием Java, Spring Boot и Hibernate Проектирование и реализация микросервисной архитектуры с учетом масштабируемости и отказоустойчивости Разработка и оптимизация работы с реляционными (PostgreSQL) и нереляционными (MongoDB) базами данных Cоздание, настройка и поддержка контейнеров с использованием Docker Участие в проектировании архитектуры приложений и их интеграции с другими системами код-ревью Совместная работа с командой для планирования спринтов, проведения ретроспектив и обеспечения прозрачности разработки Настройка процессов сборки и деплоя с использованием Gradle и Maven Написание модульных и интеграционных тестов с использованием JUnit и Mockito для обеспечения высокого уровня покрытия тестами Участие в обсуждении требований и технических решений, оформление документации в Jira и Confluence Оптимизация производительности приложений и устранение узких мест в системе Обеспечение соответствия написанного кода стандартам качества и безопасности","Java, MySQL, Spring Data, Базы данных, Java SE, Spring Framework, GitHub, Java Core, PostgreSQL, Git, ООП, Основы алгоритмов и структур данных, Jira, ORM, JDBC, Работа с базами данных, Hibernate ORM, REST, JUnit, Liquibase, Java 17, Spring Boot, Hibernate, PostgreSQL, MongoDB, Docker, REST API, Gradle, Maven, Microservices, Docker, REST API, Backend, API, JSON, Redis, Unit Testing, JPA, Microservices, Русский — Родной, Английский — B1 — Средний","нацеленность на результат работы всей команды; стрессоустойчивость; повышенная работоспособность. Играть на гитаре, читать книги","ДИТИ НИЯУ МИФИ Прикладная математика и информатика , Математик; Школа Java Developer СберУниверситет","Русский — Родной, Английский — B1 — Средний",https://hh.ru/resume/a2b3b35f000606b29f0039ed1f66744a747a64
Кандидат,Java-разработчик,400 000 ₽ на руки,"Мужчина, 29 лет","Москва , готов к переезду , готов к командировкам",Не указано,Опыт работы 8 лет 9 месяцев,Java-разработчик в КОРУС Консалтинг СНГ,Back-разработка на Java,"Java, SQL, Intellij IDEA, Математическое программирование, Java SE, Java EE, Kotlin, Работа в команде, Spring Framework, VueJS, Apache Maven, Hibernate ORM, JPA, Git, Русский — Родной, Английский — B2 — Средне-продвинутый","Основной язык разработки Java 8/11, также имеется опыт в Erlang, Kotlin, Spring Framework. Занимаюсь разработкой и внедрением сервисах реализованных на Spring boot Пробовал себя в машинном обучении, имею опыт в разработке математический задач Всегда готов обучаться и получать новые знания, умею работать в команде Разрабатывал систему расчета коммунальных платежей для работников университета, проживающих в общежитии. Бэкэнд разработан с использованием технологии Spring Boot. Фронтэнд разработан с использованием технологии VueJS. Разрабатывал систему генерации документов из шаблона. Бэкэнд разработан с использованием технологии Spring Boot. Фронтэнд разработан с использованием технологии VueJS. Разрабатывал систему управления содержим для внедрения на сайты. Бэкэнд разработан с использованием технологии Spring Boot. Фронтэнд разработан с использованием технологии VueJS. Разрабатывал в команде сервис по приему заявлений от абитуриентов. В бэкенде сервиса использовался Spring Boot, во фронтэде использовался Vue.js","Благовещенский государственный педагогический университет им. М.И. Калинина, Благовещенск (Амурская область) ФМФ , Математическое обеспечение и администрирование информационных систем","Русский — Родной, Английский — B2 — Средне-продвинутый",https://hh.ru/resume/e84df99500050005060039ed1f61774b36434f
Кандидат,Java-разработчик,1 200 $ на руки,"Мужчина, 34 года","Москва , готов к переезду , готов к командировкам",Не указано,Опыт работы 4 года 4 месяца,Java-разработчик в ТОО BinTech,- Разработка и оптимизация серверной логики для формирования аналитических отчётов с возможностью детализации данных - Разработка модуля для обработки и сопоставления данных - Написание программного кода,"Java, Spring Boot, Hibernate ORM, PostgreSQL, REST API, Git, Apache Maven, Python, Чеченский — Родной, Английский — B1 — Средний, Казахский — A2 — Элементарный, Русский — C2 — В совершенстве","Аналитическое мышление, настойчивость в достижении результата, креативный подход к решению задач.","Академия Программирования ""М46"" Java Developer; Казахский агротехнический университет имени С. Сейфуллина, Нур-Султан Финансы , Банковское Дело","Чеченский — Родной, Английский — B1 — Средний, Казахский — A2 — Элементарный, Русский — C2 — В совершенстве",https://hh.ru/resume/c459eb5800079b3e950039ed1f556156547143
Кандидат,Junior Java Developer,70 000 ₽ на руки,"Мужчина, 29 лет","Москва , не готов к переезду , не готов к командировкам",Не указано,Опыт работы 4 года 11 месяцев,Java-разработчик в Индивидуальное предпринимательство / частная практика / фриланс,Исполнение заказов на языке Java.,"SQL, Git, Java, Управление проектами, PostgreSQL, Spring Framework, Spring Boot, Базы данных, Русский — Родной, Английский — B2 — Средне-продвинутый","Начал изучать программирование на Java 3 месяца назад, сейчас продолжаю самостоятельное изучение, начал прохождение курса SkillBox. Постоянно совершенствую свои навыки на CodeWars. Обучение проходит очень интенсивно, так как возникла острая необходимость смены профессии, до этого 5 лет успешно работал в юриспруденции. Сейчас в команде занимаюсь разработкой нескольких проектов.","SkillBox Java разработчик; Московская Государственная юридическая академия им. О.Е. Кутафина, Москва Юридический","Русский — Родной, Английский — B2 — Средне-продвинутый",https://hh.ru/resume/0d0da45b0008b6bd1f0039ed1f6e4c524b7276
Кандидат,Java-разработчик,Не указано,"Мужчина, 22 года","Москва , м. Славянский бульвар , хочу переехать , готов к редким командировкам",Не указано,Опыт работы 4 года 3 месяца,Разработчик в Яндекс,Разработка ПО,"Обучаемость, Java, C++, Python, Spring Framework, Английский язык, Git, Django Framework, Golang, Java SE, Java EE, Русский — Родной, Английский — B2 — Средне-продвинутый","CV: https://theseems.ru/cv Github: https://github.com/theseems Вношу вклад в OpenSource проекты на разных языках: Java, C++, C# - графический движок, библиотека символьной алгебры Разрабатываю собственный легкий в использовании мини-фреймворк поддерживающий: команды, обработчики, события, хранилище, системой плагинов (управление зависимостями) и многое другое: https://github.com/tomshelbybot","Национальный исследовательский университет ""Высшая школа экономики"", Москва ФКН , Программная Инженерия","Русский — Родной, Английский — B2 — Средне-продвинутый",https://hh.ru/resume/02c386bc0008b9c3dc0039ed1f4676685a6f61
Кандидат,Java-разработчик,Не указано,"Мужчина, 32 года","Москва , не готов к переезду , не готов к командировкам",Не указано,Опыт работы 8 лет 4 месяца,Java-разработчик в EPAM Systems Inc.,"Системная интеграция, автоматизации технологических и бизнес-процессов предприятия, ИТ-консалтинг","Обучаемость, Русский — Родной",Не указано,"Российская академия народного хозяйства и государственной службы при Президенте РФ, Москва",Русский — Родной,https://hh.ru/resume/97fc722d00090eedce0039ed1f684268716842
Кандидат,Java-разработчик,Не указано,"Мужчина, 24 года","Москва , готов к переезду , не готов к командировкам",Не указано,Опыт работы 3 года,Java-разработчик в Сбер,"Разработка микросервисов на Java 17 с использованием Spring Boot, Hibernate, PostgreSQL Настройка интеграций через REST API, Kafka, межсервисное взаимодействие Написание unit- и integration-тестов (JUnit, WireMock, Mockito) Использование Liquibase для миграций базы данных Участие в code-review, рефакторинг и улучшение архитектуры Технологии: Java 17, Spring Boot, Kafka, PostgreSQL, Liquibase, REST, Git, Maven","Java, Spring Framework, MVC, C/C++, ООП, PostgreSQL, Unity, Git, HTML5, Hibernate ORM, SOLID, Spring Security, Spring MVC, Mockito, Docker-compose, Системная архитектура, Проектирование систем, Java EE, Java SE, Jenkins, REST API, Apache Tomcat, Agile, Scrum, kafka, kuber, openshift, Liquibase, Java 17, Spring Boot, Русский — Родной, Английский — B2 — Средне-продвинутый","Java-разработчик с более чем 2 годами опыта в разработке микросервисных приложений, построении REST API, работе с Kafka и PostgreSQL. Участвовал в проектах с полной разработкой backend-логики и юнит-тестированием. Заинтересован в инженерных задачах, где можно применять глубокое понимание Java и развиваться в сильной команде.","Национальный исследовательский университет ""Высшая школа экономики"", Москва ФКН , Программная инженерия; École 42 в москве ""Школа 21"" Сбербанк , Developer","Русский — Родной, Английский — B2 — Средне-продвинутый",https://hh.ru/resume/88068c2f0007d521810039ed1f7434346b4b6e
