ФИО,Желаемая должность,Зарплата,Личная информация,Местоположение,Занятость и график,Общий опыт,Последнее место работы,Обязанности,Ключевые навыки,Обо мне,Образование,Языки,Ссылка
Кандидат,Backend-разработчик,Не указано,"Мужчина, Не указано","Москва , готов к переезду , готов к редким командировкам",Не указано,Опыт работы 1 год 6 месяцев,Backend-разработчик в МТС,"Набор технологий: FastAPI, Django, React, PostgreSQL, Oracle, Redis, MinIO, Docker, Airflow, Jira Главное достижение: Провел полный анализ, рефакторинг и подготовку к выделению в микросервис legacy-модуля геоаналитики, что привело к увеличению скорости его работы в 7 раз. Описание задач: Задачи включали глубокий анализ, рефакторинг и документирование legacy-кода модуля геоаналитики для подготовки его к выделению в отдельный сервис. Что было сделано: - Проведен полный анализ и рефакторинг устаревшего кода модуля анализа данных, что прямо соответствует задаче по выносу модуля геоаналитики. - Разработаны новые эндпоинты API на FastAPI для изоляции функциональности и создания четких контрактов для будущего микросервиса. - Реализована работа с большими объемами данных: произведена полная рекомпоновка взаимодействий с базой данных, написаны сложные миграции БД (PostgreSQL) и настроены ETL-процессы (Airflow) для их обработки, что критически важно для аналитических модулей. - Написана исчерпывающая документация по логике работы и API модуля, что необходимо для успешного его выделения и передачи коллегам.","Python, CSS, Django, FastAPI, HTML, ORM, DRF, Git, JavaScript, Flask, PostgreSQL, MySQL, Docker, SQL, Linux, TypeScript, Gin, VueJS, Atlassian Jira, Go, Atlassian Confluence, Agile, Gitlab, Redis, Pytest, Java, MongoDB, Nginx, Apache Airflow, Figma, Русский — Родной, Английский — B1 — Средний","Python-разработчик, специализируюсь на создании и рефакторинге высоконагруженных бэкенд-сервисов на FastAPI и работе с legacy-кодом. Имею прямой коммерческий опыт успешного выделения модулей из монолитных систем, их оптимизации и документирования.","Московский государственный технический университет радиотехники, электроники и автоматики, Москва Факультет информационных технологий , Информатика и вычислительная техника (бакалавр техники и технологии); технологии DevOps РТУ МИРЭА , DevOps инженер; Python-разработчик Hexlet , Python разработчик","Русский — Родной, Английский — B1 — Средний",https://hh.ru/resume/63e7da970008c027170039ed1f6f674d7a4973
Кандидат,Backend-разработчик,Не указано,"Мужчина, 24 года","Москва , не готов к переезду , не готов к командировкам",Не указано,Опыт работы 4 года,Backend-разработчик в Индивидуальное предпринимательство / частная практика / фриланс,Разработка и доработка API сервисов на C#; Интеграция сервиса верификации SumSub в процесс регистрации; Разработка back-части чата поддержки.,"Исполнительность, Обучаемость, С#, Nginx, Git, PostgreSQL, SQL, Linux, Python, Английский язык, Java, API, Intellij IDEA, MS SQL, Русский — Родной, Английский — B2 — Средне-продвинутый",Не указано,"Национальный исследовательский университет ""Высшая школа экономики"", Москва Факультет Компьютерных Наук , Программная Инженерия; Coursera Google Cloud , Google Cloud Platform Fundamentals: Core Infrastructure; Мичиганский университет Coursera , Programming for Everybody (Getting Started with Python)","Русский — Родной, Английский — B2 — Средне-продвинутый",https://hh.ru/resume/a76efdda0008fbaef80039ed1f75634942384a
Кандидат,PHP Backend Разработчик,300 000 ₽ на руки,"Мужчина, 29 лет","Москва , не готов к переезду , готов к командировкам",Не указано,Опыт работы 4 года 11 месяцев,Backend Разработчик в Север авто,"Разработка и поддержка проектов на PHP(Rest-API, fullstack Админка(Orchid)), Go как с монолитной, так и с микросервисной архитектурой. Интеграции с внутренними и сторонними сервисами: Сбер, idx, dadata, ФНС Наиболее интересные и объемные задачи, над которыми работал: - Микросервис для работы с чеками и интеграцией с ФНС - Задачи, связанные с платежами (платежи по расписанию, повторные платежи неуспешных транзакций, покрытие задолженностей, возврат платежа) - Скоринг по паспортным данным - Калькулятор стоимости подписки - Парсинг остатков шин для множества городов(В каком городе, на каком складе, в каком количестве и по какой цене есть шины) - Уведомления:SMS, Почта, Telegram (с Emoji \xF0\x9F\x98\x8A) - Генерация PDF-документов (соглашения, акты) - Взаимодействие с сервисами через брокеры сообщений(pub/sub, request-reply) - Расписание доступных дней и времени для записи в СЦ Технические задачи: - Обновление PHP(7.4 - 8.4) и Laravel(8-12) - Покрытие проектов тестами на 80%+ - Внедрение метрик из БД в Grafana - Внедрение OpenTelemetry в Go сервисы - Внедрение в проекты библиотеки Rector, для автоматизирования обновления версий PHP и Laravel(Есть опыт написания собственного Rector-правила) - Внедрение ассинхронных запросов - Внедрение кэширования для лёгкой доступности из сервисов с высоким трафиком - Большой опыт рефакторинга с целью оптимизации и поддерживаемости кода - Большой опыт работы с парсингом файлов(xml, csv) - Большой опыт работы с импортом/экспортом из/в Excel файлы - Внедрение обнаружения N+1 запросов с последующим их исправлением - Внедрение мониторинга команд по расписанию в Sentry - Асинхронное взаимодействие между сервисами через брокеры сообщений - Настройка и оптимизация отказоустойчивости в очередях - Внедрение кэширования конфигурации, маршрутов и тд в деплой - Реализация блокировок для защиты от двойных кликов и т.п","Laravel, PHP, SQL, Docker, Работа в команде, Linux, Git, MVC, ООП, MySQL, Веб-программирование, PostgreSQL, Docker Compose, HTML5, Управление проектами, Английский язык, JavaScript, Русский — Родной, Английский — B2 — Средне-продвинутый","Ищу работу с интересными и сложными задачами на позицию Middle+/Senior или TeamLead PHP-разработчика. Более 4-х лет занимаюсь разработкой масштабируемых, высокопроизводительных и поддерживаемых backend-приложений на PHP. Специализируюсь на современном стеке технологий, активно внедряю best practices в проектирование и рефакторинг кода. Обладаю опытом в интеграциях, CI/CD, тестировании, а также в документировании процессов и обучении коллег. Мой стек технологий - Языки программирования: PHP (5.6–8.4), Go (базовый уровень) - Фреймворки: Laravel (7–12), Orchid (админка) - Базы данных: MySQL, PostgreSQL - Кэширование,очереди,брокеры: Redis, Kafka, NATS - Инструменты для разработки: PHPStorm, GoLand, WebStorm, DataGrip - Контейнеризация: Docker, Docker Compose, Portainer - CI/CD: GitLab, GitHub - AI-инструменты: GPT, Copilot и тд - Документация и API: Swagger (OpenAPI) - Мониторинг и логирование: Grafana, Sentry, ElasticSearch, Jaeger - Real-time: WebSockets (Centrifugo) - Инструменты для тестирования: PHPUnit, Pest - Отладка и профилирование: Xdebug, Опыт и достижения - Проектирование и архитектура: опыт в проектировании сложных backend-систем, декомпозиции задач и оценке. Стараюсь следовать принципам SOLID, знаю паттерны и использую лучшие практики при разработке. - Рефакторинг и оптимизация: успешный опыт в рефакторинге существующих решений, улучшении производительности (оптимизация запросов, кэширование) и улучшении структуры кода. - Интеграции с внешними сервисами: разработка и поддержка интеграций с различными API и внутренними сервисами. - Работа с WebSockets: активное использование и внедрение WebSocket решений для реализации real-time коммуникаций с помощью Centrifugal. - CI/CD: настройка и поддержка пайплайнов, изменение переменных окружения, добавление сервисов и задач в CI/CD, автоматизация деплоя. - Тестирование: большой опыт написания юнит-тестов (PHPUnit, Pest) и их интеграция в рабочий процесс. - Обучение и наставничество: опыт проведения собеседований, наставничества и обучения junior и middle разработчиков. - Документация: внедрил процесс написания и поддержания документации в проекте с использованием Swagger (OpenAPI). - Производительность: настройка OPCache и JIT для ускорения работы приложений на PHP. - Нагрузочное тестирование: опыт в нагрузочном тестировании приложений с использованием K6. - Инструменты для локальной разработки: внедрение сервисов для улучшения локальной разработки (например, MailHog, Make GNU и т.д). - Написание пакетов: опыт создания и поддержки PHP-пакетов, используемых в production-системах. - Контрибьютинг в open source: Есть опыт успешного PR в https://github.com/orchidsoftware - Работа с OAuth 2.0 и OpenID: Есть опыт работы с Keycloak - Работа с библиотекой Rector: Использую библиотеку Rector для автоматизации процесса обновления версий PHP и Laravel. Это включает как обновление зависимостей, так и рефакторинг кода с целью улучшения производительности и соблюдения лучших практик. Дополнительные навыки - Опыт работы с Agile (Scrum, Scrumban, Kanban). - Знания в области работы с контейнерами - Базовые знания Vue, JS, CSS, HTML для работы с фронтенд. - Знания в области метрик и мониторинга: настройка метрик в Grafana и использование инструментов для логирования и трассировки.","Московский государственный технический университет им. Н.Э. Баумана, Москва Космический , Информатика и вычислительная техника; Московский государственный технический университет им. Н.Э. Баумана, Москва Космический , Информатика и вычислительная техника","Русский — Родной, Английский — B2 — Средне-продвинутый",https://hh.ru/resume/f86ff53900084fd5ff0039ed1f38654d365072
Кандидат,backend разработчик,Не указано,"Мужчина, 28 лет","Иркутск , готов к переезду , готов к командировкам",Не указано,Опыт работы 6 лет 1 месяц,Backend разработчик в Beseed,"Работаю в удалённом формате Разработка сайтов с использованием php Laravel, Vue, Golang, Mysql. Разработка платформы автоматизированного продвижения рекламы в Telegram, Facebook, Twitter, Вконтакте, Одноклассниках и на сайтах, со сбором таргетной статистики для проекта https://beseed.ru/. Разработка RTB системы с использованием Kafka, Clickhouse для проекта https://beroll.ru/. Разработка Deep Linking системы со сбором таргетной статистики с использованием Go для проекта https://beclick.cc/","HTML, MySQL, Git, JavaScript, Vue, Kafka, Clickhouse, Laravel, Go, RTB, Русский — Родной, Английский — B2 — Средне-продвинутый","Возможен переезд. В студенчестве закончил курсы по 1-С, Информационной безопасности. Соответствующие сертификаты имеются. Дипломы писал на темы машинного обучения и компьютерного зрения (На Python)","ИРНИТУ Высоких технологий , Информатика и вычислительная техника; Иркутский государственный университет, Иркутск Прикладная математика и информатика , Тер. вер. и дискретная математика","Русский — Родной, Английский — B2 — Средне-продвинутый",https://hh.ru/resume/96a134c10005ba8fff0039ed1f596a6a596777
Кандидат,Backend-разработчик,Не указано,"Мужчина, 25 лет","Чебоксары , готов к переезду , готов к редким командировкам",Не указано,Опыт работы 1 год 4 месяца,Backend-разработчик в Индивидуальное предпринимательство / частная практика / фриланс,"Поддержание работы программ, сайтов, софтов","Golang, gRPC, Google API, MySQL, API, Go, PostgreSQL, Telegram, Selenium, Русский — Родной, Английский — A2 — Элементарный, Чувашский — C2 — В совершенстве",Не указано,"Мцк чэмк, Чувашия","Русский — Родной, Английский — A2 — Элементарный, Чувашский — C2 — В совершенстве",https://hh.ru/resume/33ec5c4800070137bf0039ed1f7533624e3168
Кандидат,Backend Developer,230 000 ₽ на руки,"Мужчина, Не указано","Москва , не готов к переезду , не готов к командировкам",Не указано,Опыт работы 4 года 4 месяца,Backend-разработчик в МирТех,"Разработка сайта для запуска конкурсов, доработка существующих модулей и создание новых. Используемые технологии: PHP 7.2, MySQL, PostgreSQL, Phalcon, Go, Redis","HTML, Английский язык, Linux, Git, ООП, PostgreSQL, Bash, REST, API, MVC, SOLID, PHP, Kiss, Dry, TDD, TypeScript, JavaScript, SQL, REST API, Golang, Go, Backend, JSON API, MySQL, Redis, Docker, Elasticsearch, Docker-compose, Русский — Родной, Английский — B1 — Средний","Занимаюсь программированием с 11-ти лет, начав путь с создания модов на Minecraft. Так увлекся кодом, что изучал множество различных технологий, потрогал разные сферы, а остановился на веб-разработке. Во время обучения в колледже почти все работы выполнял на Python, а первым коммерческим языком стал PHP. С момента устройства на первую работу начал изучать Go, углубляясь в сам языком. Нравится использовать Go для различных целей, что, собственно, поощряется на рабочих местах. Люблю изучать что-то новое, читать технические книги и углубляться в технологии. Linux использовал долгое время как домашнюю ОС. В конце 2021 года решил изучить Go - на данное решение, в основном, повлияли скорость выполнения написанных программ и удобство разработки.","Колледж приборостроения и информационных технологий при РТУ МИРЭА Программирование в компьютерных системах , Техник-программист; Байтик ЦИТ ""Байтик"" , Веб-разработка","Русский — Родной, Английский — B1 — Средний",https://hh.ru/resume/6d4e61990007b730d40039ed1f707978746f38
Кандидат,Backend-разработчик,250 000 ₽ на руки,"Мужчина, 25 лет","Санкт-Петербург , готов к переезду , готов к командировкам",Не указано,Опыт работы 4 года 9 месяцев,Backend-разработчик в Газпром нефть бизнес сервис,"Разработка и поддержка приложения, для расчёта бухгалтерии.","Python, Requests, ООП, JSON, Backend, API, PostgreSQL, Flask, REST API, Git, Коммуникативная компетентность, SQLAlchemy, JSON API, FastAPI, Redis, Django Rest Framework, MongoDB, Docker, Docker-compose, Celery, Русский — Родной, Английский — B1 — Средний","- Более 3 лет в коммерческой разработке на python . - быстро изучаю новые технологии - всегда нахожусь в свете последних новостей( читаю много статей и новстных пабликов, посещают митапы) Из технологий : Python(aiohttp, requests, pandas, flask, fastapi, pydantic, Marshmallow, sqlalchemy), бд : postgres, mongoDB, readis Контейнеризация: Docker, Docker-compose Конвейры данных и отложенный запуск: airflow Из кейсов: Система для автоматического расчёта скидок и отправки их в другие сервисы для рассылки. Присутствует api для управление и получения фидбека о рассылках с этого сервиса. ( большая система из нескольких автономных сервисов, некоторые из которых запускаются через airflow) Разработка и поддержка сервисов для Бухгалтерии. Так же ускорил расчёты и формирование отчётов в несколько раз(реализовал аптимальный алгоритм для своевременного расчёта и хранения гтчётности, что помогло ускорить её отправление, клиентам) Есть опыт работы напрямую с заказчиком.","Гуап Институт непрерывного и дистанционного образования (ИНДО) , Програмная инженерия; программирование на я.п. python бруноям","Русский — Родной, Английский — B1 — Средний",https://hh.ru/resume/036045480008c25b1d0039ed1f435769376441
Кандидат,Backend-разработчик,Не указано,"Мужчина, 38 лет","Москва , готов к переезду , готов к командировкам",Не указано,Опыт работы 16 лет 7 месяцев,"Backend-разработчик, серверная часть в Фриланс маркетплейс","Разработка и поддержка php backend кода, laravel, mysql, docker, redis, rabbit, fcm, wss, elastic","PHP, MySQL, JavaScript, jQuery, Linux, JSON API, Ajax, ООП, MVC, Apache HTTP Server, Laravel, Git, PostgreSQL, Docker, Nginx, Docker Compose, RabbitMQ, CSS, HTML, Bootstrap, Русский — Родной, Английский — B2 — Средне-продвинутый","Январь 2009 - Февраль 2017: - Разработка финансовых и платежных систем. - Участие в проектировании архитектуры, организации работы с базами данных. Февраль 2017 - Май 2022: - Разработка логистического сервиса http://iteco.com - Поддержка и оптимизация существующего кода, внедрение новых функциональностей. - Интеграция с внешними сервисами Май 2022 - Июль 2025: - Разработка фриланс маркетплейса http://kwork.ru - Разработка и интеграция RESTful API. - Оптимизация запросов к БД - Интеграция с внешними сервисами - Сбор аналитики - Интеграция мобильного приложения Языки программирования: PHP, JavaScript, CSS, HTML Базы данных: MySQL, PostgreSQL, Redis, Elastic Технологии: Нейросети, jQuery, JSON API, Ajax, OOP, Bootstrap, MVC Laravel, Swagger Серверные технологии: Apache HTTP Server, Nginx, Docker, Docker Compose, LAMP, Node JS, Инструменты: Git, RabbitMQ ОС: Linux, Windows Готов к интересным предложениям, есть опыт работы в команде, всегда рад помочь коллегам, предпочитаю долгосрочное сотрудничество, годами работаю с одним и тем же работодателем, не скачу с места на место","Уфимский государственный авиационный технический университет, Уфа Автоматизация технологических процессов","Русский — Родной, Английский — B2 — Средне-продвинутый",https://hh.ru/resume/d8d0b4340003831da20039ed1f57674c34666a
Кандидат,Full-stack разработчик,200 000 ₽ на руки,"Мужчина, 24 года","Санкт-Петербург , м. Девяткино , не готов к переезду , не готов к командировкам",Не указано,Опыт работы 5 лет,Backend в Чатапп,Backend,"Node.js, MySQL, CSS, Linux, JavaScript, jQuery, Git, Java, SQL, Ajax, HTML5, CSS3, ООП, Bootstrap, PHP, Laravel, C++, MVC, Flutter, Firebase, Android SDK, SOLID, Vuex, Axios, Material UI, PHPUnit, Yii2, VueJS, Express.js, Symfony, Русский — Родной, Английский — A2 — Элементарный","Привет! 👋 Я опытный разработчик с более чем 6-летним опытом работы в различных проектах. Моя страсть к программированию и стремление к совершенству позволяют мне успешно преодолевать любые технические вызовы, с которыми я сталкиваюсь в своей карьере. Мой опыт работы в команде разработчиков и знание эффективных методик командной работы позволяют мне легко встраиваться в коллектив и сотрудничать с другими разработчиками. Мой многогранный опыт разработки охватывает широкий спектр технологий и инструментов. В совершенстве владею PHP, Laravel, Node.js и Ubuntu, с помощью которых создаю эффективные и масштабируемые веб-приложения, впечатляющие пользователей своим функционалом и интерфейсом. Мои навыки в работе с Vue.js, Yii, Yii2, jQuery и React позволяют мне создавать современные и интуитивно понятные пользовательские интерфейсы. Однако, моя уникальность раскрывается еще шире в сфере низкоуровневого программирования. Я владею C++ и применяю этот язык для создания высокопроизводительных приложений. Мой опыт включает в себя тщательную работу с памятью, оптимизацию кода и решение сложных технических задач. Также, я успешно занимался реверс-инженерией (asm), что расширило мои навыки анализа и оптимизации кода на низком уровне. Эта область позволяет мне глубоко понимать внутреннее устройство программ и эффективно решать проблемы, связанные с производительностью. Особое внимание я уделяю своему опыту в разработке некастодиального крипто-кошелька на Flutter. Этот проект открыл для меня увлекательный мир блокчейн-технологий и дал возможность применить мои разработческие навыки для создания безопасного и удобного кошелька для криптовалют. За время работы над этим проектом я глубоко погрузился в принципы блокчейна и расширил свои знания в области криптографии. Моя уверенность в своих способностях основана не только на опыте, но и на достигнутых результатах. Горжусь своей способностью преодолевать сложности, находить креативные решения и достигать целей в кратчайшие сроки. Мой опыт работы над некастодиальным крипто-кошельком на Flutter явно демонстрирует мою глубокую приверженность блокчейн-технологиям и мою способность воплотить инновационные идеи в реальность. Готов ли я к новым вызовам? Абсолютно! Я стремлюсь к постоянному профессиональному росту и готов браться за любой проект, требующий моей экспертизы и креативного мышления. Предоставьте мне возможность привнести свои знания о блокчейне и навыки разработки в вашу команду, и вместе мы сможем создавать инновационные продукты, которые изменят мир в новом направлении.","Школа 34; Волгоградский филиал МГГЭУ МГГЭУ , Прикладная информатика","Русский — Родной, Английский — A2 — Элементарный",https://hh.ru/resume/1bb1b0cb0002d0e0b70039ed1f7779745a4c64
Кандидат,Backend-разработчик,Не указано,"Мужчина, 25 лет","Калининград , не готов к переезду , не готов к командировкам",Не указано,Опыт работы 4 года,Backend-разработчик в modesco,"Развитие проекта telemetr.me Стек: - PHP, Symfony - MariaDB, Clickhouse, ManticoreSearch","SQL, PHP, JavaScript, Laravel, Elasticsearch, Docker, RabbitMQ, Redis, Git, Symfony, Clickhouse, ManticoreSearch, Русский — Родной, Английский — B1 — Средний","Готов работать над интересными и сложными проектами, обучаться новым технологиям и выполнять работу в чётко установленные сроки. Имеется опыт коммерческой разработки в команде.","Балтийский федеральный университет им. И. Канта, Калининград Институт прикладной математики и информационных технологий в цифрах , Прикладная математика и информатика; КГТУ Цифровых технологий , Прикладная информатика в экономике","Русский — Родной, Английский — B1 — Средний",https://hh.ru/resume/baca105d0008e789ea0039ed1f31507a503367
