ФИО,Желаемая должность,Зарплата,Личная информация,Местоположение,Занятость и график,Общий опыт,Последнее место работы,Обязанности,Ключевые навыки,Обо мне,Образование,Языки,Ссылка
Кандидат,Go-разработчик,330 000 ₽ на руки,"Мужчина, 29 лет","Москва , м. Киевская , готов к переезду , готов к командировкам",Не указано,Опыт работы 5 лет 8 месяцев,Go developer в Сбербанк,СберДиск,"C#, Microsoft Visual Studio, Visual Studio C#, MS SQL, .NET Framework, CSS, HTML, Git, Английский язык, ООП, JavaScript, JSON API, XML, Go, Gitlab, gRPC, PostgreSQL, SQL, Visual Studio Code, .NET Core, ASP.NET Core, Redis, Docker, Русский — Родной","public static void Main() { ⠀⠀Нет личной жизни, хобби - just coding(); ⠀⠀Психологически устойчив, дружелюбен и общителен(); ⠀⠀Люблю учиться, умею признавать и исправлять ⠀⠀собственные ошибки(); ⠀⠀Очень люблю читать книги, преимущественно - техническую литературу(); ⠀⠀Вредных привычек не имею, пью только чай(); ⠀⠀Амбиверт(); } enum SoftSkills { ⠀⠀Спокойствие, ⠀⠀Рассудительность, ⠀⠀Коммуникабельность, ⠀⠀Обучаемость, ⠀⠀Стрессоустойчивость } public void HardSkills() { ⠀⠀C#, JavaScript, Go, Rust(); ⠀⠀REST, gRPC(); ⠀⠀MS SQL Server, PostgreSQL, Redis, MongoDB(); ⠀⠀Git(); ⠀⠀Gitlab(); ⠀⠀React, Redux(); ⠀⠀English(); ⠀⠀Agile, Scrum(); } public void Overall() { ⠀⠀Пишу исключительно чистый код, который работает. Презираю null-поинтеры. Не знаю о существовании 99% JavaScript-фреймворков. }","Московский авиационный институт (национальный исследовательский университет), Москва Производственный менеджмент и маркетинг , Маркетинг; Geekbrains Geekbrains , Разработчик C#; GeekBrains GeekBrains , Разработчик C#",Русский — Родной,https://hh.ru/resume/2b6815df0005700a950039ed1f70554a6c6847
Кандидат,Разработчик Go,Не указано,"Мужчина, 36 лет","Москва , не готов к переезду , готов к редким командировкам",Не указано,Опыт работы 12 лет 8 месяцев,Программист в НПФ Орто-Космос,Разработка и поддержка веб-сайтов. Администрирование и доработка коробочной CRM Битрикс24. Развитие IT-инфраструктуры компании. Создание и администрирование внутреннего сервиса занятости специалистов.,"Adobe Photoshop, 1С-Битрикс, CMS Wordpress, Администрирование сайтов, Создание сайтов, Разработка технических заданий, Figma, HTML, Git, Управление проектами, Битрикс24, Веб-программирование, CMS, IT-консалтинг, JavaScript, PHP, Blender 3D, SQL, MySQL, Golang, ООП, Go, FTP, Linux, HTTP, REST API, SQLite, GitHub, API, Docker, Русский — Родной, Английский — B2 — Средне-продвинутый, Китайский — A1 — Начальный","Опытный IT-специалист с более чем 12-летним стажем. Сфокусирован на переходе в backend-разработку на Go. Обладаю сильными техническими навыками, опытом решения комплексных задач, администрирования систем и разработки веб-решений. Эффективно работаю как в команде, так и самостоятельно. Быстро обучаюсь, внимателен к деталям, соблюдаю сроки. Адекватно воспринимаю критику и готов делиться знаниями. https://github.com/soundtrack11","Московский гуманитарный университет, Москва Рекламы , PR в рекламной деятельности; Go разработчик АНО ДПО «Образовательные технологии Яндекса» , Go разработчик; Web developer bootcamp Udemy; Html, css Geekbrains; Сертификация специалистов по Яндекс.Метрике Яндекс , Специалист по Яндекс.Метрике; Сертификация Google Рекламы по проведению поисковых рекламных кампаний Skillshop , Специалист по проведению поисковых рекламных кампаний","Русский — Родной, Английский — B2 — Средне-продвинутый, Китайский — A1 — Начальный",https://hh.ru/resume/43c0438900034739120039ed1f51434f727562
Кандидат,Junior Go разработчик,Не указано,"Мужчина, 23 года","Москва , не готов к переезду , не готов к командировкам",Не указано,Опыт работы 4 года 9 месяцев,Junior Go разработчик в Greenpl Industrial,Backend разработка,"Ответственность, C#, ASP.NET, SQL, .NET Framework, MS SQL, Python, MVC, LINQ, ООП, PostgreSQL, Entity Framework, Git, CSS, Golang, HTML, Русский — Родной, Английский — B1 — Средний","Студент 2-го курса НИТУ ""МИСиС"", факультет ""Прикладная математика"". Технологии: Go (NATS) С# (ASP NET MVC, ASP NET CORE, Entity Framework) Python(Flask, FastAPI, Sqlalchemy) Js (React) html, css Базы Данных: MSSQL, T-SQL, PostgreSQL Также имею навыки использования систем контроля версий: git, svn Проекты: 1. REST API Сервис на Go https://github.com/komtriangle/Bodroe_ytro_GO 2. Интернет-магазин. Технологии: C#, ASP NET MVC, MSSQL 3.Приложение ""Бодрое утро"" для Smart маркета СБЕРа. Технологии: Python, FastAPI, ReactJs, SQLite 4.Клиент-серверное приложение по учету успеваемости студентов (курсовая работа на курсу ""Технологии программирования""). Технологии: C++ (Qt), SQLite. Ссылка на github: https://github.com/komtriangle В основном увлекаюсь бекенд разработкой, но также есть небольшой опыт написания фронтенда на ReactJs. Принимал участие в хакатонах (""Вездекод"" от Вконтакте, ""SberCode"" от СБЕРа)","Национальный исследовательский технологический университет ""МИСиС"" , Москва Институт информационных технологий и систем управления , Математика. Прикладная математика","Русский — Родной, Английский — B1 — Средний",https://hh.ru/resume/cbb0828a00086d63050039ed1f6a64684d3372
Кандидат,Golang Developer,350 000 ₽ на руки,"Мужчина, Не указано","Москва , готов к переезду , готов к командировкам",Не указано,Опыт работы 4 года,Middle+ Go разработчик в Lamoda Tech,"Построение системы лояльности и рефакторинг внутренних сервисов: 1. Менторство Наставничество нового разработчика: адаптация, развитие технических скиллов, составление индивидуального плана роста. 2. Архитектура системы лояльности Проектировании архитектуры, формализация подходов к разработке, составление технического layout сервисов для команды. 3. Авторизация Разработка нового флоу авторизации с упором на безопасность и улучшение пользовательского опыта. 4. Онлайн-промо (Onsite promo) Участие в проектирование и реализация нового вида скидок на уровне нескольких микросервисов. 5. Feature lead: Обнуление скидки лояльности. Проработка технического решения, общение со стейкхолдерами, аналитиками, проработка архитектуры. Сократили затраты на неактивных клиентов на 10%.","Golang, SQL, Алгоритмы и структуры данных, PostgreSQL, gRPC, Docker, Kubernetes, Kafka, GraphQL, Clickhouse, DDD, Redis, Русский — Родной, Английский — B1 — Средний","Привет! Я Антон имею опыт проектирования и разработки распределённых систем для e-commerce и логистики. Сильная экспертиза в Golang, микросервисах, оптимизации производительности и отказоустойчивости. Feature lead, участвую в проектировании архитектуры, внедряю лучшие практики и развиваю команду через менторство.","Национальный исследовательский технологический университет ""МИСиС"" , Москва ИТКН , Информатика и вычислительная техника (бакалавр техники и технологии)","Русский — Родной, Английский — B1 — Средний",https://hh.ru/resume/e02518b200084ed63f0039ed1f706e6363704d
Кандидат,Разработчик GO,600 000 ₽ на руки,"Мужчина, 33 года","Москва , м. Кунцевская , готов к переезду , готов к командировкам",Не указано,Опыт работы 6 лет 5 месяцев,Tech lead в Флант,Разработка Deckhouse,"Git, SQL, GO, Redis, Kubernetes, PostgreSQL, Atlassian Jira, Prometheus, Grafana, Работа с документацией, Microservices, Gitlab, CI/CD, Helm, Clickhouse, SOLID, REST API, Clean Architecture, ООП, Linux, Автоматизированное тестирование, Умение разбираться в чужом коде, MVC, Golang, Оптимизация кода, Websockets, Русский — Родной, Английский — B2 — Средне-продвинутый","Из своих больших достижений хочу отметить: 1) Разработка и внедрение CRM с интеграцией популярных мессенджеров 2) Разработка проприетарной системы ротации ключей шифрования Kubernetes 3) Охват 4 языков программирования на первых порах работы разработчиком 4) Адаптация в крупном банке без наставника. Быстрое включение в работу команды, освоение множества разнообразных практик DevOps. 5) Отсутствие страха делиться знаниями. До какого-то момента, я считал, что если я буду делиться знаниями - я буду совершенно не нужным специалистом в своей области. Теперь активно делюсь своими знаниями с окружающими людьми. Из сильных своих сторон хочу подчеркнуть тягу к обучению За время работы в компании Token Echo: 1) Смог уверенно писать код на 4 языках программирования (Go, PHP, JS, Solidity) 2) Получил навыки работы с базами данных в рамках высоконагруженных приложений. За время работы в Raiffeisen: 1) Изучил внутреннее устройство Kubernetes на уровне разработчика 2) Укрепил свои знания в языке Go 3) Освоил различные DevOps инструменты и практики 4) Внедрил в свою работу практики TDD 5) Продолжил углубляться в SOLID и DDD 6) Пытался внедрить TBD для организации работы с GIT. * На данный момент делаю ставку в своем обучении на архитектуру приложения. Читаю книги, интересуюсь практиками, слушаю доклады с конференций, активно обсуждаю с коллегами. * Также в остальное время изучаю материалы для работы (документация, книги) и углубляюсь в работу низкоуровневых языков, компиляторов, баз данных (считаю нецелесообразным использование языка без знаний его внутреннего устройства), в общем Computer Science. Также интересуюсь непостижимой философией чистого кода (без ярого фанатизма и споров), криптографией (следствие работы с блокчейном). * Дополнительно пишу пет проект на C++. Не всегда хватает на него времени, но я стараюсь. * Иногда случаются пет проекты - парсеры/органайзеры/утилиты на golang. Благодаря годам работы в сфере внедрения, хочу подчеркнуть следующее: 1) Свободно общаюсь с клиентом. 2) Не боюсь подчеркнуть узкие места нашего софта и предложить сразу методы решения проблем. 3) Если проблемы не решаются - работаю над тем чтобы найти решение. Если решение не найдено - проблема висит фоном и в любой момент может прийти озарение и она решится. 4) Позитивно реагирую на продкутивную критику. Прислушиваюсь к коллегам. 5) Умею быстро разбираться в ХАОСЕ и неизвестных системах. 6) Не боюсь использовать не стандартные методы решения проблемы, пытаюсь автоматизировать определенные участки собственной работы, работы коллег, проекта в целом. 7) Умею ставить себе собственный цели (последствия развития без ментора), и часто из этого проистекает 8 пункт, так как многие области смежны между собой 8) Любознательность. Люблю быть осведомленным о том, что происходит на текущий момент и о проблемах, с которыми предстоит столкнуться в ближайшее будущее. 9) Умение обучать. Могу преподносить любую информацию которую знаю на очень простом уровне. Активно делюсь с коллегами своими наработками. В завершении: В настоящий момент продолжаю обучаться, читая книги и углубляясь в то, что уже изучено. Список книг не буду приводить здесь. Есть права категории B Хобби: настольные игры, электроника и ее ремонт, коллекционирование, чтение на иностранных языках.","Московский государственный университет технологий и управления им. К.Г. Разумовского, Москва АСОиУ (автоматизированные системы обработки информации и управления); ГКТиУ (Государственный Колледж Технологий и Управления) АСОиУ (Автоматизированные Системы Обработки Информации и Управления)","Русский — Родной, Английский — B2 — Средне-продвинутый",https://hh.ru/resume/5d6dc881000370833c0039ed1f6e3830643966
Кандидат,Software Developer,Не указано,"Мужчина, 45 лет","Нижний Новгород , готов к переезду (Другие регионы, Москва, Московская область) , готов к командировкам",Не указано,Опыт работы 23 года 10 месяцев,GO Developer в “mc² software Ltd.”,"Project: “MegaFon-TV - online television and movie theater.” www.megafon.tv - Implementations of the sports section. Adding and extending other functionalities of the service. Technologies: GO, PostgreSQL. Agile methodology: SCRUM, Kanban. Tools: Git, XML, JSON, RESTful API, Redis, Docker, DroneCI.","Ответственность, Русский — Родной, Английский — C1 — Продвинутый","SUMMARY OF EXPERIENCE Operating Systems: Operation Systems: UNIX (FreeBSD, Solaris, Linux), Windows Languages: Golang, Java SE (JDBC, Hibernate), C++(10 years), C, Perl, Fortran, Pascal, Basic Technologies: OOA/OOD Databases: MySQL, SYBASE Component frameworks: CORBA (with mapping to C++) Modeling Languages: UML GUI Toolkits: Qt, wxWindows, Gnome- Code management tools: CVS, Clear Case WWW: Apache, Zope (TCP/IP, HTML, XML, JavaScript, PHP, CGI) Miscellaneous and development tools: Clarify (CR management), DDD, Workshop, Rational Purify, FlexeLint, Rational Rose, UNIX Shell, Ulticom Protocols: TCAP, SIP","N.I.LOBACHEVSKY NIZHNY NOVGOROD STATE UNIVERSITY (NNGU) Computer Mathematics and Cybernetics (VMK) Department , Bachelor of Science in Applied Mathematics","Русский — Родной, Английский — C1 — Продвинутый",https://hh.ru/resume/781ad200000000aec70039ed1f736563726574
Кандидат,Программист-разработчик,Не указано,"Мужчина, Не указано","Москва , готов к переезду , не готов к командировкам",Не указано,Опыт работы 6 лет 5 месяцев,Golang-разработчик в Data Integral,"Разработка фичей, фикс багов, профилирование сервисов, оптимизация sql-запросов, нагрузочное тестирование. На проекте использую следующие технологии: Go, postgresl, redis, temporal, docker, k8s, prometheus and graphana","C++, Golang, Python, PostgreSQL, MongoDB, Redis, Higher Mathematics, Algorithms and Data Structures, Git, Bash, Nginx, Swift, Русский — Родной, Английский — B2 — Средне-продвинутый","Бекенд-разработчик, имею небольшой опыт мобильной разработки, в научных интересах увлекался нейронными сетями. Люблю решать алгоритмические и математические задачки. Закончил мехмат МГУ со средним баллом 4.6.","Московский государственный университет им. М.В. Ломоносова, Москва механико-математический , специалитет(2017), аспирантура(2021), теоретическая информатика; Техносфера открытый курс ""Алгоритмы и структуры данных""","Русский — Родной, Английский — B2 — Средне-продвинутый",https://hh.ru/resume/0aef8d0700065ed6ee0039ed1f5576356c4341
Кандидат,Младший разработчик GO,Не указано,"Мужчина, 26 лет","Казань , м. Аметьево , готов к переезду (Иннополис, Москва, Санкт-Петербург) , готов к редким командировкам",Не указано,Опыт работы 3 года 10 месяцев,"Младший Golang разработчик в Вайлдберриз, ООО",На данный момент работаю младшим Golang разработчиком в группе каталог/поиск,"Обучаемость, Python, SQL, Git, Английский язык, Linux, Go, Docker, PostgreSQL, Kafka, Русский — Родной, Английский — B1 — Средний","МТС Тета – Golang разработчик 11.05.2022 — 31.08.2022 Получение опыта разработки микросервисов с использованием JWT токенов, kafka, mongodb и postgresql. С 06.09.2020 — 28.01.2022 был студентом школы21. За это время получил практические навыки опыта разработки в IT на основе школьных проектов, а также погружение в крупное комьюнити 9 декабря 2021 года прошел курс Go-разработки в Ozon route256. Курс помог мне освоить язык Go, а также познакомил с Kafka, Prometheus, Grafana, GrayLog. В 2020 году участвовали с командой в хакатоне «Цифровой прорыв» и заняли первое место в региональном туре по Москве. Тема проекта была направлена на определение свободных парковочных мест в дворах жилых домов с помощью камер видеонаблюдения","Казанский национальный исследовательский технический университет им. А.Н. Туполева, Казань Институт компьютерных технологий и защиты информации , Автоматизированные системы обработки информации и управления","Русский — Родной, Английский — B1 — Средний",https://hh.ru/resume/60b1ef0b000927b3030039ed1f7a3265514f61
Кандидат,Программист PHP/GO,Не указано,"Мужчина, 34 года","Москва , готов к переезду , не готов к командировкам",Не указано,Опыт работы 9 лет 5 месяцев,Ведущий разработчик в ВэбБанкир,Разработка микросервисов для микрофинансовой организации в основном php symfony с подходом DDD чистой архитектуры и не большой части на GO,"PHP, JavaScript, ООП, Git, jQuery, Ajax, Symfony, Design Patterns, SQL, Linux, Yii, TypeScript, ReactJS, Redux, Golang, Русский — Родной, Английский — B1 — Средний",Не указано,"Национальный исследовательский технологический университет ""МИСиС"" (Московский институт стали и сплавов), Москва горные электромашины , Электрификация и энергоэффективность; Национальный исследовательский технологический университет ""МИСиС"" (Московский институт стали и сплавов), Москва Итасу , Автоматизация и управление в технических системах","Русский — Родной, Английский — B1 — Средний",https://hh.ru/resume/d40a2bbe000267817b0039ed1f767176314668
Кандидат,Go Developer,Не указано,"Мужчина, 34 года","Москва , м. Отрадное , готов к переезду , готов к командировкам",Не указано,Опыт работы 10 лет 10 месяцев,Программист-разработчик в WB—Tech,"- Работаю в команде поиска, одной из самых сильных команд WB. - Оптимизации алгоритмов поиска, которые ежедневно обрабатывают миллионы запросов от пользователей - Проектирование и реализация масштабируемых решений для обработки больших объемов данных, улучшение точности и релевантности результатов поиска - Работа с суффиксными массивами на 17мл+ элементов, S3 и minIO - Работа с высоконагруженными сервисами rps 100k/ces+ - CI/CD","Golang, Go, PostgreSQL, Docker, Git, GitHub, GitLab CI, Redis, Linux, REST, REST API, HTTP, API, Microservices, SOLID, Английский язык, Русский — Родной, Английский — C1 — Продвинутый","Leetcode - https://leetcode.com/u/KillReall666/ Мои проекты которыми я занимаюсь в свободное время: - Сервис по сбору метрик и аллертингу (клиент/сервер) Сервер по сбору рантайм-метрик который собирает репорты от агентов по HTTP. При разработке мной были задействованы основы REST-API, работа c mock'ами, хеширование и шифрование, логгирование и капелька многопоточности. Используемый стек: PostgreSQL, Docker. https://github.com/KillReall666/yaproject - Накопительную систему лояльности (в качестве выпускного проекта) Сервис включает регистрацию, аутентификацию и авторизацию пользователя, хранение данных о пользователе и заказах, взаимодействие с внешним сервисом (системой расчёта баллов лояльности) а так же дальнейшую обработку и хранение начислений за покупки. Используемый стек: PostgreSQL, Docker, Redis. https://github.com/KillReall666/Loyalty-system Помимо углубления текущих навыков, получил опыт: - написание автотестов - создание API для проекта и документации к нему - создания микросервисной архитектуры - работа с Redis - работа с Doker - работа с PostgreSQL - работа с git - опыт прохождения код-ревью Достигнув потолка как специалист в области Gelato я понял что топчусь на одном месте и решил бросить себе вызов. В 30 лет решил перевернуть всю жизнь с ног на голову и отучиться на новую профессию. На кого как не на разработчика учиться в век цифровых технологий, ведь именно сейчас вокруг нас формируется новая цифровая реальность. И либо ты останешься наблюдателем, либо будешь её создателем! Благодаря опыту руководителя производством легко нахожу подход к любому человеку, умею работать в режиме многозадачности и умею структурировать работу. Имею опыт публичных выступлений. Люблю учиться и совершенствовать свои навыки. Почитываю Мартина ""Чистая архитектура"" и BLACH HAT GO для хакеров и пентестеров. Решаю задачки на leetcode и codewars. Пилю митол на гитарке.","Московская международная академия Факультет информационных систем и технологий , Прикладная информатика; Российский государственный университет туризма и сервиса, Москва Экономический факультет , Антикризисное управление; Go (golang) - первое знакомство (с отличием) Stepik; Программирование на Golang Stepik; Thank Go! Многозадачность в Golang Stepik; Linux(основы) Stepik; Go-разработчик Яндекс-практикум","Русский — Родной, Английский — C1 — Продвинутый",https://hh.ru/resume/752670b300020944390039ed1f614c6f4f765a
