ФИО,Желаемая должность,Зарплата,Личная информация,Местоположение,Занятость и график,Общий опыт,Последнее место работы,Обязанности,Ключевые навыки,Обо мне,Образование,Языки,Ссылка
Candidate,программист,50 000 ₽ in hand,"Male, 57 years","Tomsk , willing to relocate (Moscow, Moscow Oblast, Novosibirsk, Saint Petersburg) , prepared for occasional business trips",Не указано,Work experience 27 years 1 month,"Руководитель проектов, Программист в ООО ""Дарим-Томск"", г. Томск. (томский филиал корейской фирмы ""Darim Vision Ltd."") .","Разработка мультимедийных систем, систем сетевого вещания, драйверов устройств. Работа с компьютерным видео и звуком. Обеспечение технической поддержки программных продуктов.","Russian — Native, English — B2 — Upper Intermediate",Программист,"Томский Институт Автоматизированных Систем Управления и Радиоэлектроники Факультет Электронной Техники , Инженер электронной техники","Russian — Native, English — B2 — Upper Intermediate",https://hh.ru/resume/b6d48091000093c30a0039ed1f736563726574
Кандидат,Программист,15 000 ₽ на руки,"Женщина, 29 лет","Саратов , не готова к переезду , не готова к командировкам",Не указано,Опыт работы 11 лет 6 месяцев,Программист в Билайн,начинающий программист.,"Русский — Родной, Английский — A1 — Начальный","Corel Draw , Photoshop",Не указано,"Русский — Родной, Английский — A1 — Начальный",https://hh.ru/resume/7fcae41b0001e954b40039ed1f703354336a76
Кандидат,Программист-разработчик,30 000 ₽ на руки,"Мужчина, 62 года","Нижний Тагил , не готов к переезду , не готов к командировкам",Не указано,Опыт работы 31 год 9 месяцев,Программист в ОАО АХПК,"Опыт руководящей работы 5 лет Программист, в совершенстве знаю и умею работать в ОС DOS и WINDOWS 95/98/2000/XP/Vista/7, оболочки NC,VC,Far.Из ППП под WINDOWS хорошо знаю Microsoft Office, графический пакет AUTOCAD. Из языков программирования профессионально работаю в 1С: Предприятие, С++ , СУБД Visual FoxPro(все версии), Delphi, SQL.Умею создавать и сопровождать сайты(HTML,CSS,JS,PHP). Достаточно хорошо знаю аппаратную часть компьютера. Умею соединять, настраивать и обслуживать компьютерную сеть. В области программирования мною разработан ряд серьезных задач по экономике, страхованию, анализу движения пассажирского автотранспорта, статистике. Стаж более 10 лет. Умею работать с большинством офисной техники.","Программист-разработчик,Web-программист, Программист 1С, Русский — Родной",Не указано,"Уральский федеральный университет имени первого Президента России Б.Н. Ельцина, Екатеринбург САПР",Русский — Родной,https://hh.ru/resume/3ce99eb300021743270039ed1f63476e703442
Кандидат,Программист,70 000 ₽ на руки,"Мужчина, 39 лет","Москва , не готов к переезду , не готов к командировкам",Не указано,Опыт работы 18 лет 5 месяцев,программист в ИДР,"web-программист html, php, perl, javascript, jquery, mysql, ldap,css freebsd","Белорусский — Родной, Английский — C2 — В совершенстве",Не указано,Не указано,"Белорусский — Родной, Английский — C2 — В совершенстве",https://hh.ru/resume/4737d4c20004e6338a0039ed1f417978464d52
Кандидат,Программист 1с,Не указано,"Мужчина, 49 лет","Пермь , не готов к переезду , не готов к командировкам",Не указано,Опыт работы 25 лет,Программист в завод,программист 1С,Русский — Родной,Не указано,пгту автоматизации,Русский — Родной,https://hh.ru/resume/70100fb60004d430400039ed1f503644524479
Кандидат,Программист,150 000 ₽ на руки,"Мужчина, 45 лет","Малаховка (Московская область) , готов к переезду (Москва) , готов к редким командировкам",Не указано,Опыт работы 25 лет 7 месяцев,Программист в Опыт работы," Научно-исследовательский институт информационных технологий НИИТ МГАФК. 2000- 2004 г.г. Научный сотрудник. Программирование на Delphi и C++ Builder, разработка и внедрение сайта.  Научно-производственная фирма НТФ АРИСТ 2004-2007 г.г. Программист. Разработка приложений, поддержка и разработка корпоративной программы на Delphi 7.  Торговый Центр ГРАНТ ПЛЮС. 2007 г. Программист. Разработка и внедрение сайта торгового комплекса на PHP и Bitrix.  ООО коммерческий банк КАПИТАЛ КРЕДИТ 2008г. Специалист. Работа с банковскими программами.  Центральный аэрогидродинамический институт им. Н.Е. Жуковского (ФГУП ЦАГИ), г. Жуковский. 2008- 2009 г.г. Программист 1 категории. Работа с программами на Delphi 8 и MS SQL 2005.  Компания Премакса Восток Фирма АЙ ТИ ЭНД ТИ. 2012 г. Программист. Поддержка программы на Delphi и SQL, написание программ на C#, C++, ASP, Visual Studio.  Компания МОБИЛ ЭЛЕМЕНТ. 2013 г. Программист. Разработка программы для мобильных платежных систем в группе программистов на Delphi XE2.  Mr Doors. 2015 г. Программист Delphi, Oracle.  Фриланс, подработка, учеба в GeekBrains (Java-разработка). 2015 - 2021 гг.","Знание технологий и компонентов: VCL, XML, XSLT, DevExpress, Web, систем контроля версий., Опыт проектирования, разработки и рефакторинга кода в крупных проектах на Delphi. Delphi 7, 8, XE2., Опыт разработки коммерческих программных продуктов на Delphi, C++ Builder, Программирование Delphi в связке с MSSQL, Oracle. MSSQL 2000, 2005, 2008. Oracle 9I., Программирование на многих языках: Assembler, PHP, ASP, SHAREPOINT, HTML, PASCAL, C++, C# и других., программирование, организация работы, Учеба в GeekBrains, Java-разработка: Java Core, Git, Базы данных, Swing, FXML, ..., MS Visual Studio, C# NET, ASP.NET, ADO.NET на начальном уровне., Русский — Родной, Английский — C1 — Продвинутый","Хобби: спорт, компьютеры, музыка, постоянное самообразование, путешествия.","Московский энергетический институт (Национальный исследовательский университет), Москва Институт Автоматики и Вычислительной Техники , Специальность: Вычислительные машины, комплексы, системы и сети. Инженер-системотехник","Русский — Родной, Английский — C1 — Продвинутый",https://hh.ru/resume/dd88a73c0002335f750039ed1f4a7a74334634
Кандидат,Программист,Не указано,"Мужчина, 31 год","Советский (Ханты-Мансийский АО) , не готов к переезду , не готов к командировкам",Не указано,Опыт работы 11 лет 3 месяца,"Программист в Июль 2014 года - по настоящее время – Автономное учреждение Ханты-Мансийского автономного округа – Югры «Советская районная больница», программист; Июль 2011г. – январь 2012г. – Интернет провайдер ООО «FasTel», инженер службы технической поддержки.","Обслуживание аппаратного устройства рабочей станции (персонального компьютера). Устанавливаю, настраиваю, администрирую операционные системы рабочих станций, общесистемное программное обеспечение рабочих станций (архиваторы, текстовые редакторы, почтовые программы и пр.), пакеты офисных программ (MC Office). Обслуживание активного сетевого оборудования (коммутаторы, маршрутизаторы). Коммутация кроссовых панелей серверных помещений. Подготовка (обжим) коммутационных кабелей (патч, кордов), тестирование розетки СКС. Работа с информационно-телекоммуникационными сетями, в том числе сетью Интернет, с внутренними и периферийными устройствами рабочей станции. Применение утилит сетевой диагностики и базовые знания стека протоколов TCP/IP.","Русский — Родной, Английский — A1 — Начальный",Водительское удостоверение категории «В». Имеется личный автомобиль,"Советский профессиональный колледж техник - программист , техническое обслуживание средств вычислительной техники и компьютерных сетей","Русский — Родной, Английский — A1 — Начальный",https://hh.ru/resume/2aa5896f0002859c600039ed1f63444747624e
Кандидат,Техник-программист,40 000 ₽ на руки,"Мужчина, 34 года","Оренбург , не готов к переезду , готов к командировкам",Не указано,Опыт работы 12 лет 8 месяцев,Программист в ГБУЗ Сорочинская МБ,Программист,"Пользователь ПК, Работа с оргтехникой, Работа в команде, Internet, Поиск информации в интернет, Работа с большим объемом информации, оформление документации, Работа с документами, Электронная почта, Работа с документами временного хранения, Работа с документами постоянного хранения, Точность и внимательность к деталям, Офисная техника, Оперативный поиск информации в сети Интернет, Техническая поддержка, Навыки составления отчетности, Составление отчетности, Работа с базами данных, MS Access, Способность обучать других, Сбор и анализ информации, Русский — Родной, Башкирский — B2 — Средне-продвинутый","Коммуникабелен, целеустремлён, установка и настройка программ, изготовление ЭЦП, настройка и установка ремонт принтеров и МФУ, ремонт персональных компьютеров и установка ос на базе windows, linux. Настройка и прокладка локальной сети, поддержка и своевременное обновление сайта организации, конфигурация, настройка и администрирование серверов, ввод арм в домен, персональных компьютеров и периферийных устройств. инсталляция, настройка и обновление операционной системы, прочего программного обеспечения (включая антивирусное).","Электроники и бизнеса Программное обеспечение вычислительной техники и автоматизированных систем , программист-техник","Русский — Родной, Башкирский — B2 — Средне-продвинутый",https://hh.ru/resume/f54acc5400031da4b60039ed1f7a56594a6652
Кандидат,Программист С++,Не указано,"Мужчина, 27 лет","Москва , не готов к переезду , готов к командировкам",Не указано,Опыт работы 6 лет 9 месяцев,Программист в Nomachine,Программист developer,"Коммуникативные навыки, Работа в режиме многозадачности, Информационные технологии, Экономический анализ, Русский — Родной, Английский — B2 — Средне-продвинутый, Грузинский — C2 — В совершенстве",Не указано,"Georgian state university Менеджмент , Менеджер","Русский — Родной, Английский — B2 — Средне-продвинутый, Грузинский — C2 — В совершенстве",https://hh.ru/resume/fe0aa86a00079266be0039ed1f79436c567a42
Кандидат,программист,35 000 ₽ на руки,"Мужчина, 48 лет","Москва , не готов к переезду , не готов к командировкам",Не указано,Опыт работы 24 года,"программист в ООО ""MGP""","01.2007 по н.в. Должность: Программист Должностные обязанности: доработка ПО Работаю на должности программиста 1С. Занимаюсь автоматизацией всех направлений торговли. Разрабатываю, оптимизирую, поддерживаю торговые базы 1С. Также создаю вспомогательные утилиты, сервисы в среде «Delphi». Занимаюсь системным администрированием, необходимым для работы пользователей в 1С, автоматической архивации данных и пр. Обучаю пользователей. Подключал торговое оборудование. Обслуживал розничную сеть. Удаленно работаю с регионами (центры мелкооптовых продаж). Администрирую базу оперативного учета «Граф Бестужев». Разработал корпоративную web базу данных с использованием PHP, MySQL, Javascript. А также приложения для обновления Интернет магазина, самообновляемый сервис для обмена данными между региональными центрами и офисом, программу для подготовки счетов, web-ресурс «Тестирование кандидатов». 03.2004 по 09.2006;, программист Должность: инженер - программист I категории. Должностные обязанности: разработка БД Interbase Delphi SQL 09.2002 03.2004гг. Должность: инженер II кат. Должностные обязанности: разработка баз данных Interbase Delphi, администрирование ВТ и ЛВС. 10.2001 09.2002гг. Должность: наладчик КИПиА Должностные обязанности: монтаж и наладка схем автоматики, систем связи, ремонт и обслуживание систем автоматики и электроприводов; составление технической документации.","Русский — Родной, Английский — C2 — В совершенстве","Администрирование ВТ . Interbase, SQL, PL/SQL, Delphi. Знание иностранных языков Английский язык. Разговорный, письменный, чтение технической литературы. Аспирантура МГАПИ Кандидат технических наук Учебный центр МГУ (ВМиК) Март 2007г. -май 2007г. SQL и основы баз данных, Oracle 10g: Расширения SQL, Oracle 10g: Программирование на PL/SQL МГУ (ВМиК) 01.09.2006 Разработчик компьютерных технологий","Московская государственный университет приборостроения и информатики информатика , диплом","Русский — Родной, Английский — C2 — В совершенстве",https://hh.ru/resume/fec63d28000098efa20039ed1f736563726574
